analysis_type,parameter,n_replicate_groups,n_RSD_defined,percent_RSD_defined,n_Dixon_applicable,percent_Dixon_applicable,n_3xSD_applicable,percent_3xSD_applicable,n_RSD_gt_10,percent_RSD_gt_10,n_RSD_gt_20,percent_RSD_gt_20,n_Dixon_flagged,percent_Dixon_flagged,n_3xSD_flagged,percent_3xSD_flagged,pooled_SD
compositional,arabinan,7.0,7.0,100.0,7.0,100.0,7.0,100.0,2.0,28.57142857142857,1.0,14.285714285714285,2.0,28.57142857142857,0.0,0.0,0.28103550021474594
compositional,arabinose,7.0,7.0,100.0,7.0,100.0,7.0,100.0,2.0,28.57142857142857,1.0,14.285714285714285,3.0,42.857142857142854,0.0,0.0,0.31917303860355833
compositional,glucan,68.0,68.0,100.0,66.0,97.05882352941177,68.0,100.0,8.0,11.76470588235294,5.0,7.352941176470589,4.0,6.0606060606060606,3.0,4.411764705882353,1.8596504379167018
compositional,glucose,66.0,66.0,100.0,66.0,100.0,66.0,100.0,8.0,12.121212121212121,5.0,7.575757575757576,4.0,6.0606060606060606,3.0,4.545454545454546,2.081161898672193
compositional,lignin,66.0,64.0,96.96969696969697,60.0,90.9090909090909,64.0,96.96969696969697,0.0,0.0,0.0,0.0,6.0,10.0,1.0,1.5625,0.4569550635538759
compositional,lignin+,4.0,4.0,100.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691001669302171
compositional,xylan,68.0,68.0,100.0,66.0,97.05882352941177,68.0,100.0,9.0,13.23529411764706,5.0,7.352941176470589,7.0,10.606060606060606,3.0,4.411764705882353,0.8759750075945936
compositional,xylose,66.0,66.0,100.0,65.0,98.48484848484848,66.0,100.0,10.0,15.151515151515152,6.0,9.090909090909092,7.0,10.76923076923077,2.0,3.0303030303030303,1.6912339721294771
icp,al,24.0,24.0,100.0,0.0,0.0,24.0,100.0,13.0,54.166666666666664,7.0,29.166666666666668,0.0,,1.0,4.166666666666666,66.85628026159297
icp,b,13.0,3.0,23.076923076923077,0.0,0.0,3.0,23.076923076923077,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.7234178138070232
icp,ca,50.0,30.0,60.0,0.0,0.0,30.0,60.0,1.0,3.3333333333333335,1.0,3.3333333333333335,0.0,,1.0,3.3333333333333335,1640.0833566281776
icp,cu,37.0,27.0,72.97297297297297,0.0,0.0,27.0,72.97297297297297,8.0,29.629629629629626,6.0,22.22222222222222,0.0,,0.0,0.0,2.8309179246838463
icp,fe,37.0,27.0,72.97297297297297,0.0,0.0,27.0,72.97297297297297,11.0,40.74074074074074,6.0,22.22222222222222,0.0,,1.0,3.7037037037037033,331.09715593261546
icp,k,50.0,27.0,54.0,0.0,0.0,27.0,54.0,3.0,11.11111111111111,1.0,3.7037037037037033,0.0,,1.0,3.7037037037037033,2444.459252662975
icp,mg,50.0,30.0,60.0,0.0,0.0,30.0,60.0,1.0,3.3333333333333335,1.0,3.3333333333333335,0.0,,1.0,3.3333333333333335,159.61517605415847
icp,mn,37.0,27.0,72.97297297297297,0.0,0.0,27.0,72.97297297297297,4.0,14.814814814814813,2.0,7.4074074074074066,0.0,,1.0,3.7037037037037033,10.056378112458816
icp,na,24.0,21.0,87.5,0.0,0.0,21.0,87.5,9.0,42.857142857142854,7.0,33.33333333333333,0.0,,0.0,0.0,69.51514737296984
icp,nd,24.0,24.0,100.0,0.0,0.0,24.0,100.0,6.0,25.0,5.0,20.833333333333336,0.0,,1.0,4.166666666666666,3.9604145405921
icp,p,50.0,30.0,60.0,0.0,0.0,30.0,60.0,12.0,40.0,8.0,26.666666666666668,0.0,,0.0,0.0,207.27830888521996
icp,s,37.0,27.0,72.97297297297297,0.0,0.0,27.0,72.97297297297297,6.0,22.22222222222222,4.0,14.814814814814813,0.0,,1.0,3.7037037037037033,148.34250907949482
icp,si,24.0,24.0,100.0,0.0,0.0,24.0,100.0,8.0,33.33333333333333,5.0,20.833333333333336,0.0,,0.0,0.0,2.108366271152461
icp,ti,24.0,14.0,58.333333333333336,0.0,0.0,24.0,100.0,6.0,42.857142857142854,6.0,42.857142857142854,0.0,,0.0,0.0,1.8896814105381188
icp,zn,37.0,26.0,70.27027027027027,0.0,0.0,27.0,72.97297297297297,8.0,30.76923076923077,3.0,11.538461538461538,0.0,,0.0,0.0,3.605543571286366
proximate,ash,115.0,115.0,100.0,115.0,100.0,115.0,100.0,26.0,22.608695652173914,5.0,4.3478260869565215,15.0,13.043478260869565,4.0,3.4782608695652173,1.1501599132672622
proximate,moisture,115.0,94.0,81.73913043478261,94.0,81.73913043478261,94.0,81.73913043478261,1.0,1.0638297872340425,1.0,1.0638297872340425,8.0,8.51063829787234,3.0,3.1914893617021276,0.8572297870474512
proximate,total solids,115.0,115.0,100.0,115.0,100.0,115.0,100.0,1.0,0.8695652173913043,0.0,0.0,9.0,7.82608695652174,5.0,4.3478260869565215,1.0814785906475384
proximate,volatile solids,115.0,115.0,100.0,115.0,100.0,115.0,100.0,8.0,6.956521739130435,4.0,3.4782608695652173,9.0,7.82608695652174,3.0,2.608695652173913,1.218575790224695
ultimate,adf-r,13.0,4.0,30.76923076923077,0.0,0.0,4.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.2850438562747826
ultimate,carbon,1.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ultimate,cf,13.0,4.0,30.76923076923077,0.0,0.0,4.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.16221128197508358
ultimate,dm,13.0,1.0,7.6923076923076925,0.0,0.0,1.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ultimate,nitrogen,14.0,5.0,35.714285714285715,0.0,0.0,5.0,35.714285714285715,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.051060188573318614
ultimate,oxygen,1.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ultimate,sulfur,2.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
xrd,crystallinity,10.0,9.0,90.0,8.0,80.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2169988802418035
