replicate_group_id,sample_id,resource_id,resource_type,analysis_type,parameter,lab,method,protocol_version,experiment_id,n_replicates,mean,standard_deviation,RSD_percent,existing_QC_status,rsd_gt_20,dixon_flag_0_05,flag_3xSD,dixon_candidate_record_id,flag_category
8,148,31,almond shells,compositional,xylan,capstan,knife mill (2mm),,27.0,3,16.413333333333334,1.0767698608956948,6.560336276781244,pass,False,True,False,(04)68e4,Dixon_only
10,148,31,almond shells,compositional,xylose,capstan,knife mill (2mm),,27.0,3,18.653333333333336,1.2240234202552407,6.5619554338200885,pass,False,True,False,(04)c1d7,Dixon_only
22,70,31,almond shells,compositional,xylan,humorous,knife mill (2mm),,38.0,3,16.51,2.70449625623701,16.380958547771108,pass,False,False,True,(13)9bb5,3xSD_only
61,48,25,almond hulls,compositional,lignin,vibrant,knife mill (2mm),,41.0,3,20.646666666666665,0.2973774257292119,1.4403168827698347,pass,False,True,False,(31)504a,Dixon_only
69,77,5,alfalfa,compositional,lignin,possessive,knife mill (2mm),,34.0,3,20.87,0.2338803112705296,1.1206531445641097,pass,False,True,False,(3c)1095,Dixon_only
76,81,27,rice straw,compositional,arabinose,possessive,knife mill (2mm),,32.0,3,2.6166666666666667,0.0404145188432739,1.5445039048384956,pass,False,True,False,(42)7a67,Dixon_only
96,32,23,grape pomace,compositional,glucan,ebony,oven dry,,40.0,3,7.609999999999999,1.7714683175264525,23.278164487864025,pass,True,False,False,(4e)e137,RSD_only
97,32,23,grape pomace,compositional,glucose,ebony,oven dry,,40.0,3,8.456666666666665,1.96871362400257,23.28001920381439,pass,True,False,False,(4e)e140,RSD_only
98,32,23,grape pomace,compositional,xylan,ebony,oven dry,,40.0,3,4.896666666666667,1.7591001487503015,35.9244414312519,pass,True,False,False,(4e)e143,RSD_only
99,32,23,grape pomace,compositional,xylose,ebony,oven dry,,40.0,3,5.566666666666667,1.99930821369126,35.915716413615435,pass,True,False,False,(4e)e146,RSD_only
101,37,33,sweet potato culls,compositional,xylan,tackle,oven dry,,35.0,3,3.176666666666667,0.0404145188432739,1.272230393807155,pass,False,True,False,(56)ea26,Dixon_only
117,80,20,wheat straw,compositional,xylose,possessive,knife mill (2mm),,32.0,3,21.996666666666663,0.0461880215351711,0.2099773671851998,pass,False,True,False,(62)5ab6,Dixon_only
121,80,20,wheat straw,compositional,xylan,possessive,knife mill (2mm),,32.0,3,19.356666666666666,0.0461880215351711,0.2386155753496011,pass,False,True,False,(62)ed41,Dixon_only
129,147,31,almond shells,compositional,xylan,humorous,knife mill (2mm),,27.0,3,14.993333333333332,2.4113136115680454,16.08257188684779,pass,False,False,True,(71)5316,3xSD_only
130,147,31,almond shells,compositional,xylose,humorous,knife mill (2mm),,27.0,3,17.036666666666665,2.743307006759057,16.10236943900836,pass,False,True,False,(71)3ea0,Dixon_only
131,147,31,almond shells,compositional,glucose,humorous,knife mill (2mm),,27.0,3,21.75333333333333,3.458342570268788,15.897989137000252,pass,False,True,False,(71)470a,Dixon_only
132,147,31,almond shells,compositional,glucan,humorous,knife mill (2mm),,27.0,3,19.58,3.1177074910902083,15.9229187491839,pass,False,True,False,(71)b8d9,Dixon_only
134,67,21,corn stover husks,compositional,lignin,caterpillar,knife mill (2mm),,38.0,3,18.57,0.0692820323027556,0.3730857959222169,pass,False,True,False,(72)ed34,Dixon_only
153,57,19,walnut shells,compositional,xylose,energetic,oven dry + knife mill (2mm),,35.0,4,18.895,9.037040444747385,47.82768163401632,pass,True,True,True,(82)6771,all_three
174,135,34,grape stem,compositional,xylan,rigging,oven dry + knife mill (2mm),,27.0,3,4.843333333333333,1.45249211128093,29.989513653425952,pass,True,False,False,(87)8932,RSD_only
