analysis_type,parameter,n_replicate_groups,n_independent_samples,replicate_n_counts,median_replicate_n,min_sample_mean,max_sample_mean,sample_mean_span,median_SD,Q1_SD,Q3_SD,median_RSD,Q1_RSD,Q3_RSD,P90_RSD,P95_RSD,n_RSD_defined,percent_RSD_defined,percent_RSD_gt_10,percent_RSD_gt_20,n_Dixon_calculated,percent_Dixon_calculated,percent_Dixon_flagged,percent_ROUT_flagged
compositional,arabinan,7,7,3:7,3.0,0.0266666666666666,3.633333333333333,3.6066666666666665,0.058594652770823,0.04907477288111815,0.17785793124908972,6.603773584905665,3.3850105832361903,14.28822393211987,80.69247188545374,126.9487763211706,7,100.0,28.57142857142857,14.285714285714285,7,100.0,28.57142857142857,
compositional,arabinose,7,7,3:7,3.0,0.03,4.13,4.1,0.0642910050732864,0.0548482755730144,0.20074908545621473,6.5212587740671,3.2896933007957117,14.262451033057031,80.69263499477972,126.9488578758336,7,100.0,28.57142857142857,14.285714285714285,7,100.0,42.857142857142854,
compositional,glucan,68,67,"2:2, 3:66",3.0,6.533333333333334,54.17666666666667,47.64333333333334,0.3636450285605492,0.18822833893293245,0.8076099982441525,1.484965118946914,1.1075390307844755,3.4448694863395555,13.980551542794355,22.61436309083302,68,100.0,11.76470588235294,7.352941176470589,66,97.05882352941177,6.0606060606060606,
compositional,glucose,66,65,3:66,3.0,7.260000000000001,60.20000000000001,52.94000000000001,0.4113312279066712,0.22489632514273028,0.9044562443160892,1.5280771031723854,1.133335515743636,3.610305330846454,14.268994841379854,22.802825660162156,66,100.0,12.121212121212121,7.575757575757576,66,100.0,6.0606060606060606,
compositional,lignin,66,63,"1:2, 2:4, 3:60",3.0,7.45,52.54,45.089999999999996,0.28943730182094507,0.1726238292942537,0.48258793802360045,1.089913660937182,0.6892648163628285,1.635876292122007,1.9396733948681646,2.478749724139321,64,96.96969696969697,0.0,0.0,60,90.9090909090909,10.0,
compositional,lignin+,4,4,3:4,3.0,31.35,53.47666666666667,22.126666666666665,0.5637913278930937,0.3987674509392982,0.7038999379152262,1.2704292139926434,0.7914683256463905,1.8830615287160293,2.160150999964045,2.252514157046717,4,100.0,0.0,0.0,4,100.0,0.0,
compositional,xylan,68,67,"2:2, 3:66",3.0,3.176666666666667,37.17666666666667,34.0,0.29766987611018303,0.12983500028791586,0.6003073968347274,2.120936715337289,1.2633403606233875,3.6896526512382444,15.72315327246491,22.798407437704736,68,100.0,13.23529411764706,7.352941176470589,66,97.05882352941177,10.606060606060606,
compositional,xylose,66,65,"2:1, 3:64, 4:1",3.0,3.61,42.24666666666666,38.63666666666666,0.34170902607206477,0.14977248308367563,0.8322770856393784,2.1501009919194027,1.2326646712453897,3.738686321228329,16.246499515776435,24.021902179967213,66,100.0,15.151515151515152,9.090909090909092,65,98.48484848484848,10.76923076923077,
icp,al,24,24,2:24,2.0,3.24,415.5,412.26,2.4041630560342617,0.2722361107568204,3.3587572106361008,12.221598687174897,1.3982713352903033,20.71278940583364,57.71500619465229,75.25675330127928,24,100.0,54.166666666666664,29.166666666666668,0,0.0,,
icp,b,13,13,"1:10, 2:3",1.0,9.1,137.0,127.9,0.3535533905932738,0.1767766952966369,0.777817459305202,2.668327476175651,1.3341637380878255,3.5894761733920095,4.142165391721825,4.326395131165096,3,23.076923076923077,0.0,0.0,0,0.0,,
