analysis_type,parameter,n_replicate_groups,n_points_usable_for_correlation,n_points_usable_for_RSD_correlation,n_points_usable_for_loglog,spearman_mean_vs_SD,spearman_mean_vs_SD_pvalue,spearman_mean_vs_RSD,spearman_mean_vs_RSD_pvalue,loglog_slope,loglog_r_squared,precision_model_category
compositional,arabinan,7.0,7.0,7.0,7.0,0.4642857142857144,0.29393410760025196,-0.14285714285714288,0.7599453002180927,0.2730039958439908,0.18087706070194862,concentration_dependent_mixed
compositional,arabinose,7.0,7.0,7.0,7.0,0.4642857142857144,0.29393410760025196,-0.14285714285714288,0.7599453002180927,0.27692718856507176,0.19093775613064248,concentration_dependent_mixed
compositional,glucan,68.0,68.0,68.0,68.0,0.23010268351337934,0.0590645560572946,-0.22334618467763484,0.06712802522187504,0.5712291771875894,0.05743377925957788,unclear
compositional,glucose,66.0,66.0,66.0,66.0,0.21786869846571347,0.07886115943931028,-0.2518526249869534,0.041352524820218506,0.5252178778700742,0.050675151174328616,unclear
compositional,lignin,66.0,64.0,64.0,64.0,0.5165581108180785,1.244968652648692e-05,-0.035622710622710614,0.7798967297175599,0.8625342613550588,0.2752376779578824,approx_constant_relative_RSD
compositional,lignin+,4.0,4.0,4.0,4.0,,,,,,,insufficient_data
compositional,xylan,68.0,68.0,68.0,68.0,-0.018360881016910333,0.8818589212097543,-0.376989731648662,0.0015301672133017023,-0.06338532030070834,0.0008057101494733722,approx_constant_absolute_SD
compositional,xylose,66.0,66.0,66.0,66.0,0.027450161778519996,0.8268163928895362,-0.3191107400062625,0.009011983922231778,0.06899121280303971,0.0008455790483171988,approx_constant_absolute_SD
icp,al,24.0,24.0,24.0,20.0,0.4110860963341129,0.04597567397259885,0.0854590700990867,0.6913378178554557,1.1153143832500845,0.40778809794133214,approx_constant_relative_RSD
icp,b,13.0,3.0,3.0,2.0,,,,,,,insufficient_data
icp,ca,50.0,30.0,30.0,30.0,0.761470405324528,1.0249920293292145e-06,0.018020022246941044,0.9247014225657184,1.0563326941040052,0.8858298909783574,approx_constant_relative_RSD
icp,cu,37.0,27.0,27.0,17.0,0.19624797708564598,0.3265603206058275,0.09147533743106187,0.6499859133328083,1.3739009995504314,0.22112244859126604,concentration_dependent_mixed
icp,fe,37.0,27.0,27.0,20.0,0.5841268242966766,0.0013785812981174238,0.10223615216424159,0.6118529290924312,0.9806452681270459,0.5219031228091732,approx_constant_relative_RSD
icp,k,50.0,27.0,27.0,26.0,0.6866409733945148,7.649789967874318e-05,-0.08485958485958486,0.673872639876004,1.0052008873390563,0.8760952732176082,approx_constant_relative_RSD
icp,mg,50.0,30.0,30.0,26.0,0.4045025372851875,0.026613646047059247,0.10000006200371836,0.5990477941046157,1.1060580346372209,0.7906295174601292,approx_constant_relative_RSD
icp,mn,37.0,27.0,27.0,20.0,0.6929615591591585,6.164304878274177e-05,0.5174400737483839,0.005707373525468679,1.177218951681337,0.2909055497477778,concentration_dependent_mixed
icp,na,24.0,21.0,21.0,8.0,-0.100260756635629,0.665442571997088,-0.14545454545454545,0.5292829389801046,0.6799100840814173,0.8871328969951935,concentration_dependent_mixed
icp,nd,24.0,24.0,24.0,17.0,0.26224862495226553,0.21572587145403768,0.08328393288719796,0.698831185766551,0.5955098632996546,0.04533283568288689,unclear
icp,p,50.0,30.0,30.0,30.0,0.5777530589543938,0.0008276453593028322,0.01935483870967742,0.9191412148908162,1.1748037606238078,0.8564275717100861,approx_constant_relative_RSD
icp,s,37.0,27.0,27.0,26.0,0.34967174229182924,0.07379243763123017,-0.43956043956043955,0.021782622088906647,0.27469331277405457,0.06359188342121126,unclear
icp,si,24.0,24.0,24.0,14.0,0.04417110599878032,0.8376181760747439,-0.1124887426571866,0.6007464609719968,0.18771453055034767,0.0063061797190668645,approx_constant_absolute_SD
icp,ti,24.0,24.0,14.0,11.0,0.4805362501636475,0.017462348473880465,-0.7346803165797605,0.0027638538636098817,-1.7015606792128957,0.09279797894216009,unclear
icp,zn,37.0,27.0,26.0,17.0,0.4159309368616639,0.030941317661669344,0.28881827452902403,0.1524398060304922,2.242344774953206,0.5247829104936718,concentration_dependent_mixed
proximate,ash,115.0,115.0,115.0,115.0,0.6687354018106466,3.1580294309713234e-16,-0.0738069545914917,0.43309003587893813,0.8086434009711904,0.4301638502244522,approx_constant_relative_RSD
proximate,moisture,115.0,94.0,94.0,94.0,0.6314675337433896,8.877589279700796e-12,-0.08801791713325867,0.3989006319736461,0.8684096595088988,0.4113099769181347,approx_constant_relative_RSD
proximate,total solids,115.0,115.0,115.0,115.0,-0.49095209636314036,2.5396930722778316e-08,-0.6683263631342224,3.3414622721946046e-16,-0.6962908503013836,0.08452535723651543,unclear
