replicate_group_id,analysis_type,parameter,pooled_SD_used,flag_3xSD,3xSD_status
1,compositional,glucose,2.081161898672193,False,calculated
2,compositional,xylan,0.8759750075945936,False,calculated
3,compositional,lignin,0.4569550635538759,False,calculated
4,compositional,xylose,1.6912339721294771,False,calculated
5,compositional,glucan,1.8596504379167018,False,calculated
6,compositional,lignin,0.4569550635538759,False,calculated
7,compositional,glucan,1.8596504379167018,False,calculated
8,compositional,xylan,0.8759750075945936,False,calculated
9,compositional,glucose,2.081161898672193,False,calculated
10,compositional,xylose,1.6912339721294771,False,calculated
11,compositional,xylose,1.6912339721294771,False,calculated
12,compositional,glucose,2.081161898672193,False,calculated
13,compositional,xylan,0.8759750075945936,False,calculated
14,compositional,glucan,1.8596504379167018,False,calculated
15,compositional,lignin,0.4569550635538759,False,calculated
16,compositional,glucan,1.8596504379167018,False,calculated
17,compositional,glucose,2.081161898672193,False,calculated
18,compositional,xylan,0.8759750075945936,False,calculated
19,compositional,xylose,1.6912339721294771,False,calculated
20,compositional,lignin,0.4569550635538759,False,calculated
21,compositional,lignin,0.4569550635538759,False,calculated
22,compositional,xylan,0.8759750075945936,True,calculated
23,compositional,xylose,1.6912339721294771,False,calculated
24,compositional,glucan,1.8596504379167018,False,calculated
25,compositional,glucose,2.081161898672193,False,calculated
26,compositional,glucose,2.081161898672193,False,calculated
27,compositional,lignin,0.4569550635538759,False,calculated
28,compositional,glucose,2.081161898672193,False,calculated
29,compositional,lignin,0.4569550635538759,False,calculated
30,compositional,xylan,0.8759750075945936,False,calculated
31,compositional,glucan,1.8596504379167018,False,calculated
32,compositional,xylose,1.6912339721294771,False,calculated
33,compositional,glucan,1.8596504379167018,False,calculated
34,compositional,xylose,1.6912339721294771,False,calculated
35,compositional,xylan,0.8759750075945936,False,calculated
36,compositional,xylose,1.6912339721294771,False,calculated
37,compositional,xylan,0.8759750075945936,False,calculated
38,compositional,glucan,1.8596504379167018,False,calculated
39,compositional,lignin,0.4569550635538759,False,calculated
40,compositional,glucose,2.081161898672193,False,calculated
41,compositional,xylan,0.8759750075945936,False,calculated
42,compositional,glucan,1.8596504379167018,False,calculated
43,compositional,glucose,2.081161898672193,False,calculated
44,compositional,lignin,0.4569550635538759,False,calculated
45,compositional,xylose,1.6912339721294771,False,calculated
46,compositional,lignin+,0.5691001669302171,False,calculated
47,compositional,xylose,1.6912339721294771,False,calculated
48,compositional,lignin,0.4569550635538759,False,calculated
49,compositional,glucan,1.8596504379167018,False,calculated
50,compositional,glucan,1.8596504379167018,False,calculated
51,compositional,xylose,1.6912339721294771,False,calculated
52,compositional,glucose,2.081161898672193,False,calculated
53,compositional,xylan,0.8759750075945936,False,calculated
54,compositional,glucose,2.081161898672193,False,calculated
55,compositional,xylan,0.8759750075945936,False,calculated
56,compositional,xylan,0.8759750075945936,False,calculated
57,compositional,glucan,1.8596504379167018,False,calculated
58,compositional,lignin,0.4569550635538759,False,calculated
59,compositional,xylan,0.8759750075945936,False,calculated
60,compositional,xylose,1.6912339721294771,False,calculated
61,compositional,lignin,0.4569550635538759,False,calculated
62,compositional,glucose,2.081161898672193,False,calculated
63,compositional,glucan,1.8596504379167018,False,calculated
64,compositional,xylose,1.6912339721294771,False,calculated
65,compositional,xylan,0.8759750075945936,False,calculated
66,compositional,glucan,1.8596504379167018,False,calculated
67,compositional,lignin,0.4569550635538759,False,calculated
68,compositional,glucose,2.081161898672193,False,calculated
69,compositional,lignin,0.4569550635538759,False,calculated
70,compositional,glucose,2.081161898672193,False,calculated
71,compositional,glucan,1.8596504379167018,False,calculated
72,compositional,xylose,1.6912339721294771,False,calculated
73,compositional,xylan,0.8759750075945936,False,calculated
74,compositional,glucose,2.081161898672193,False,calculated
75,compositional,xylose,1.6912339721294771,False,calculated
76,compositional,arabinose,0.31917303860355833,False,calculated
77,compositional,glucan,1.8596504379167018,False,calculated
78,compositional,xylan,0.8759750075945936,False,calculated
79,compositional,lignin,0.4569550635538759,False,calculated
80,compositional,arabinan,0.28103550021474594,False,calculated
81,compositional,glucan,1.8596504379167018,False,calculated
