replicate_group_id,sample_id,resource_id,resource_type,analysis_type,parameter,lab,method,protocol_version,unit,experiment_id,n_replicates,mean,median,standard_deviation,RSD_percent,min,max,range,values,source_record_ids,existing_QC_status,rsd_gt_10,rsd_gt_20,dixon_q_statistic,dixon_candidate_record_id,dixon_flag_0_05,dixon_status,rout_status,rout_status_reason
1,50,25,almond hulls,compositional,glucose,tiny,knife mill (2mm),,% dry weight,41.0,3,30.80666666666667,30.63,0.4050102879351751,1.314683903706476,30.52,31.27,0.75,"30.63,31.27,30.52","(03)1e07,(03)8c53,(03)fa75",pass,False,False,0.853333333333334,(03)8c53,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
2,50,25,almond hulls,compositional,xylan,tiny,knife mill (2mm),,% dry weight,41.0,3,17.263333333333332,17.34,0.244199372098566,1.414555157937243,16.99,17.46,0.4700000000000024,"17.46,17.34,16.99","(03)1f0b,(03)b32d,(03)e36d",pass,False,False,0.744680851063829,(03)e36d,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
3,50,25,almond hulls,compositional,lignin,tiny,knife mill (2mm),,% dry weight,41.0,3,19.49333333333333,19.47,0.3555746522649409,1.8240833734521595,19.15,19.86,0.7100000000000009,"19.47,19.86,19.15","(03)677d,(03)9a1e,(03)ad41",pass,False,False,0.5492957746478875,(03)9a1e,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
4,50,25,almond hulls,compositional,xylose,tiny,knife mill (2mm),,% dry weight,41.0,3,19.616666666666664,19.7,0.2746512940681941,1.4000915585464444,19.31,19.84,0.5300000000000011,"19.7,19.31,19.84","(03)8660,(03)d213,(03)e546",pass,False,False,0.7358490566037731,(03)d213,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
5,50,25,almond hulls,compositional,glucan,tiny,knife mill (2mm),,% dry weight,41.0,3,27.73,27.57,0.3671511950137159,1.3240216192344605,27.47,28.15,0.6799999999999997,"27.57,27.47,28.15","(03)9fbf,(03)d898,(03)f1df",pass,False,False,0.8529411764705861,(03)f1df,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
6,148,31,almond shells,compositional,lignin,capstan,knife mill (2mm),,% dry weight,27.0,3,30.57333333333333,30.71,0.4992327446525648,1.632902566460635,30.02,30.99,0.9699999999999988,"30.02,30.99,30.71","(04)0340,(04)2869,(04)ef2c",pass,False,False,0.7113402061855691,(04)0340,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
7,148,31,almond shells,compositional,glucan,capstan,knife mill (2mm),,% dry weight,27.0,3,21.30666666666667,21.56,1.023783831349828,4.804992950640619,20.18,22.18,2.0,"20.18,22.18,21.56","(04)5f38,(04)8000,(04)8271",pass,False,False,0.6899999999999995,(04)5f38,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
8,148,31,almond shells,compositional,xylan,capstan,knife mill (2mm),,% dry weight,27.0,3,16.413333333333334,17.03,1.0767698608956948,6.560336276781244,15.17,17.04,1.8699999999999992,"15.17,17.03,17.04","(04)68e4,(04)6ff4,(04)d679",pass,False,False,0.9946524064171134,(04)68e4,True,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
9,148,31,almond shells,compositional,glucose,capstan,knife mill (2mm),,% dry weight,27.0,3,23.67,23.95,1.136177802986838,4.800075213294627,22.42,24.64,2.219999999999999,"22.42,23.95,24.64","(04)a7a4,(04)c311,(04)ec17",pass,False,False,0.6891891891891885,(04)a7a4,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
10,148,31,almond shells,compositional,xylose,capstan,knife mill (2mm),,% dry weight,27.0,3,18.653333333333336,19.35,1.2240234202552407,6.5619554338200885,17.24,19.37,2.1300000000000026,"19.35,17.24,19.37","(04)aa6b,(04)c1d7,(04)e941",pass,False,False,0.9906103286384979,(04)c1d7,True,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
