analysis_type,parameter,n_flagged_groups,percent_of_total_flags,n_replicate_groups,flag_rate_percent
xrf,rb,30,7.02576112412178,52,57.692307692307686
xrf,cu,26,6.0889929742388755,55,47.27272727272727
xrf,sr,24,5.620608899297424,54,44.44444444444444
xrf,u,23,5.386416861826698,55,41.81818181818181
proximate,ash,21,4.918032786885246,115,18.26086956521739
xrf,k,15,3.51288056206089,55,27.27272727272727
proximate,volatile solids,14,3.278688524590164,115,12.173913043478262
xrf,mn,14,3.278688524590164,55,25.454545454545453
xrf,zn,14,3.278688524590164,55,25.454545454545453
proximate,total solids,13,3.0444964871194378,115,11.304347826086957
compositional,xylan,13,3.0444964871194378,68,19.11764705882353
xrf,mo,12,2.810304449648712,40,30.0
xrf,ba,12,2.810304449648712,55,21.818181818181817
xrf,ca,11,2.576112412177986,55,20.0
proximate,moisture,11,2.576112412177986,115,9.565217391304348
compositional,xylose,11,2.576112412177986,66,16.666666666666664
xrf,th,10,2.3419203747072603,55,18.181818181818183
xrf,ce,10,2.3419203747072603,45,22.22222222222222
xrf,pr,8,1.873536299765808,49,16.3265306122449
compositional,glucose,8,1.873536299765808,66,12.121212121212121
compositional,glucan,8,1.873536299765808,68,11.76470588235294
icp,p,8,1.873536299765808,50,16.0
compositional,lignin,7,1.639344262295082,66,10.606060606060606
xrf,si,7,1.639344262295082,55,12.727272727272727
xrf,p,7,1.639344262295082,55,12.727272727272727
icp,na,7,1.639344262295082,24,29.166666666666668
icp,al,7,1.639344262295082,24,29.166666666666668
icp,fe,6,1.405152224824356,37,16.216216216216218
icp,cu,6,1.405152224824356,37,16.216216216216218
xrf,mg,6,1.405152224824356,37,16.216216216216218
icp,ti,6,1.405152224824356,24,25.0
icp,si,5,1.1709601873536302,24,20.833333333333336
xrf,fe,5,1.1709601873536302,55,9.090909090909092
icp,nd,5,1.1709601873536302,24,20.833333333333336
xrf,pb,4,0.936768149882904,35,11.428571428571429
xrf,la,4,0.936768149882904,48,8.333333333333332
icp,s,4,0.936768149882904,37,10.81081081081081
xrf,s,3,0.702576112412178,55,5.454545454545454
icp,zn,3,0.702576112412178,37,8.108108108108109
compositional,arabinose,3,0.702576112412178,7,42.857142857142854
compositional,arabinan,2,0.468384074941452,7,28.57142857142857
icp,mn,2,0.468384074941452,37,5.405405405405405
xrf,ti,2,0.468384074941452,44,4.545454545454546
xrf,nd,2,0.468384074941452,32,6.25
xrf,y,2,0.468384074941452,12,16.666666666666664
xrf,al,2,0.468384074941452,36,5.555555555555555
icp,k,1,0.234192037470726,50,2.0
icp,mg,1,0.234192037470726,50,2.0
icp,ca,1,0.234192037470726,50,2.0
xrf,as,1,0.234192037470726,11,9.090909090909092
