dimension,value,n_flagged_groups,percent_of_total_flags,n_replicate_groups_total,flag_rate_percent
analysis_type,xrf,254,59.4847775175644,1315,19.315589353612168
analysis_type,icp,62,14.519906323185012,518,11.96911196911197
analysis_type,proximate,59,13.817330210772832,460,12.82608695652174
analysis_type,compositional,52,12.177985948477751,352,14.772727272727273
resource_type,almond hulls,50,11.7096018735363,311,16.077170418006432
resource_type,almond shells,41,9.601873536299765,293,13.993174061433447
resource_type,grape pomace,40,9.367681498829041,218,18.34862385321101
resource_type,spent oak chips,37,8.665105386416862,151,24.503311258278146
resource_type,alfalfa,23,5.386416861826698,96,23.958333333333336
resource_type,cotton stem mix,21,4.918032786885246,106,19.81132075471698
resource_type,almond branches,20,4.683840749414521,152,13.157894736842104
resource_type,wheat straw,20,4.683840749414521,70,28.57142857142857
resource_type,unused oak stick,15,3.51288056206089,28,53.57142857142857
resource_type,pistachio shells,12,2.810304449648712,33,36.36363636363637
resource_type,grape stem,11,2.576112412177986,56,19.642857142857142
resource_type,tomato pomace,11,2.576112412177986,195,5.641025641025641
resource_type,pistachio hulls,11,2.576112412177986,57,19.298245614035086
resource_type,pistachio stems & leaves,11,2.576112412177986,32,34.375
resource_type,rice straw,10,2.3419203747072603,65,15.384615384615385
resource_type,olive stems / leaves,10,2.3419203747072603,35,28.57142857142857
resource_type,olive pomace,10,2.3419203747072603,34,29.411764705882355
resource_type,peach pomace,9,2.107728337236534,25,36.0
resource_type,walnut shells,8,1.873536299765808,114,7.017543859649122
resource_type,peach screening waste,7,1.639344262295082,25,28.000000000000004
resource_type,corn stover whole,6,1.405152224824356,28,21.428571428571427
resource_type,peach stems / leaves,6,1.405152224824356,32,18.75
resource_type,walnut tree sticks,6,1.405152224824356,83,7.228915662650602
resource_type,walnut hulls,4,0.936768149882904,84,4.761904761904762
resource_type,peach seeds,4,0.936768149882904,26,15.384615384615385
resource_type,spent yeast,4,0.936768149882904,62,6.451612903225806
resource_type,sweet potato culls,4,0.936768149882904,45,8.88888888888889
resource_type,rice hulls,3,0.702576112412178,24,12.5
resource_type,almond woodchips,3,0.702576112412178,27,11.11111111111111
resource_type,almond shells and hulls mix,3,0.702576112412178,85,3.5294117647058822
resource_type,olive prunings,2,0.468384074941452,8,25.0
resource_type,sargassum,2,0.468384074941452,35,5.714285714285714
resource_type,#n/a,1,0.234192037470726,22,4.545454545454546
resource_type,corn stover stalks,1,0.234192037470726,9,11.11111111111111
resource_type,corn stover husks,1,0.234192037470726,9,11.11111111111111
experiment_id,47.0,254,59.4847775175644,925,27.459459459459463
experiment_id,43.0,61,14.285714285714285,336,18.154761904761905
experiment_id,6.0,12,2.810304449648712,44,27.27272727272727
experiment_id,27.0,10,2.3419203747072603,25,40.0
experiment_id,5.0,10,2.3419203747072603,84,11.904761904761903
experiment_id,31.0,9,2.107728337236534,20,45.0
experiment_id,12.0,7,1.639344262295082,36,19.444444444444446
experiment_id,32.0,4,0.936768149882904,21,19.047619047619047
experiment_id,33.0,4,0.936768149882904,28,14.285714285714285
experiment_id,2.0,4,0.936768149882904,8,50.0
experiment_id,30.0,4,0.936768149882904,25,16.0
experiment_id,40.0,4,0.936768149882904,36,11.11111111111111
experiment_id,34.0,4,0.936768149882904,25,16.0
experiment_id,35.0,3,0.702576112412178,15,20.0
experiment_id,24.0,3,0.702576112412178,12,25.0
experiment_id,21.0,3,0.702576112412178,12,25.0
experiment_id,11.0,3,0.702576112412178,20,15.0
experiment_id,15.0,3,0.702576112412178,12,25.0
experiment_id,1.0,2,0.468384074941452,16,12.5
experiment_id,37.0,2,0.468384074941452,25,8.0
experiment_id,28.0,2,0.468384074941452,25,8.0
experiment_id,38.0,2,0.468384074941452,36,5.555555555555555
experiment_id,36.0,2,0.468384074941452,20,10.0
experiment_id,13.0,2,0.468384074941452,20,10.0
experiment_id,10.0,2,0.468384074941452,12,16.666666666666664
experiment_id,4.0,2,0.468384074941452,24,8.333333333333332
experiment_id,3.0,1,0.234192037470726,8,12.5
experiment_id,22.0,1,0.234192037470726,16,6.25
experiment_id,23.0,1,0.234192037470726,12,8.333333333333332
experiment_id,19.0,1,0.234192037470726,16,6.25
experiment_id,20.0,1,0.234192037470726,24,4.166666666666666
experiment_id,7.0,1,0.234192037470726,16,6.25
experiment_id,29.0,1,0.234192037470726,20,5.0
experiment_id,42.0,1,0.234192037470726,182,0.5494505494505495
experiment_id,41.0,1,0.234192037470726,25,4.0
provider,rigging,55,12.88056206088993,178,30.89887640449438
provider,possessive,50,11.7096018735363,221,22.624434389140273
provider,humorous,48,11.241217798594848,252,19.047619047619047
provider,capstan,30,7.02576112412178,114,26.31578947368421
provider,tripod,30,7.02576112412178,91,32.967032967032964
provider,maplewood,29,6.791569086651054,219,13.24200913242009
provider,rushes,26,6.0889929742388755,108,24.074074074074073
provider,tiny,23,5.386416861826698,277,8.303249097472925
provider,excellent,22,5.152224824355972,74,29.72972972972973
provider,schooner,21,4.918032786885246,106,19.81132075471698
provider,vibrant,13,3.0444964871194378,198,6.565656565656567
provider,boatswain,12,2.810304449648712,64,18.75
provider,energetic,11,2.576112412177986,234,4.700854700854701
provider,wardrobe,9,2.107728337236534,38,23.684210526315788
provider,oakleaf,7,1.639344262295082,64,10.9375
provider,(missing),6,1.405152224824356,42,14.285714285714285
provider,ebony,6,1.405152224824356,46,13.043478260869565
provider,cutaway,6,1.405152224824356,39,15.384615384615385
provider,tackle,4,0.936768149882904,45,8.88888888888889
provider,stuntman,4,0.936768149882904,31,12.903225806451612
provider,popular,3,0.702576112412178,27,11.11111111111111
provider,sextant,3,0.702576112412178,24,12.5
provider,caterpillar,2,0.468384074941452,27,7.4074074074074066
provider,hairpin,2,0.468384074941452,35,5.714285714285714
provider,riverstone,2,0.468384074941452,46,4.3478260869565215
provider,badger,1,0.234192037470726,17,5.88235294117647
provider,gossamer,1,0.234192037470726,13,7.6923076923076925
provider,pinecrest,1,0.234192037470726,59,1.694915254237288
sample_preparation_method,knife mill (2mm),197,46.13583138173302,952,20.69327731092437
sample_preparation_method,oven dry + knife mill (2mm),144,33.723653395784545,590,24.40677966101695
sample_preparation_method,(missing),62,14.519906323185012,518,11.96911196911197
sample_preparation_method,as is,12,2.810304449648712,548,2.18978102189781
sample_preparation_method,oven dry,8,1.873536299765808,58,13.793103448275861
sample_preparation_method,chipper (1in) + freeze,2,0.468384074941452,16,12.5
sample_preparation_method,chipper (1in) + knife mill (2mm),1,0.234192037470726,16,6.25
sample_preparation_method,#n/a,1,0.234192037470726,8,12.5
protocol_version,(missing),427,100.0,2712,15.744837758112096
existing_QC_status,pass,390,91.33489461358315,1994,19.55867602808425
existing_QC_status,(missing),14,3.278688524590164,83,16.867469879518072
existing_QC_status,fail,12,2.810304449648712,233,5.150214592274678
existing_QC_status,"fail,pass",7,1.639344262295082,8,87.5
existing_QC_status,"pass,provisional",4,0.936768149882904,4,100.0
