sample_id,resource_id,resource_type,analysis_type,parameter,lab,method,protocol_version,unit,sample_mean,n_replicates,n_contributing_experiments,pooled_SD,pooled_RSD_percent,between_experiment_SD,between_experiment_RSD_percent,replicate_group_id
50,25,almond hulls,compositional,glucose,tiny,knife mill (2mm),,% dry weight,30.80666666666667,3,1,0.4050102879351751,1.314683903706476,,,1
50,25,almond hulls,compositional,xylan,tiny,knife mill (2mm),,% dry weight,17.263333333333332,3,1,0.24419937209856604,1.414555157937243,,,2
50,25,almond hulls,compositional,lignin,tiny,knife mill (2mm),,% dry weight,19.493333333333332,3,1,0.3555746522649409,1.8240833734521593,,,3
50,25,almond hulls,compositional,xylose,tiny,knife mill (2mm),,% dry weight,19.616666666666664,3,1,0.2746512940681941,1.4000915585464444,,,4
50,25,almond hulls,compositional,glucan,tiny,knife mill (2mm),,% dry weight,27.73,3,1,0.3671511950137159,1.3240216192344605,,,5
148,31,almond shells,compositional,lignin,capstan,knife mill (2mm),,% dry weight,30.573333333333334,3,1,0.49923274465256484,1.632902566460635,,,6
148,31,almond shells,compositional,glucan,capstan,knife mill (2mm),,% dry weight,21.30666666666667,3,1,1.023783831349828,4.804992950640619,,,7
148,31,almond shells,compositional,xylan,capstan,knife mill (2mm),,% dry weight,16.413333333333334,3,1,1.0767698608956948,6.560336276781244,,,8
148,31,almond shells,compositional,glucose,capstan,knife mill (2mm),,% dry weight,23.67,3,1,1.1361778029868381,4.800075213294627,,,9
148,31,almond shells,compositional,xylose,capstan,knife mill (2mm),,% dry weight,18.653333333333336,3,1,1.2240234202552407,6.5619554338200885,,,10
96,37,tomato pomace,compositional,xylose,pinecrest,oven dry + knife mill (2mm),,% dry weight,8.17,3,1,1.2707084638106414,15.553347170264889,,,11
96,37,tomato pomace,compositional,glucose,pinecrest,oven dry + knife mill (2mm),,% dry weight,15.413333333333332,3,1,0.8509602419228133,5.5209358256237895,,,12
96,37,tomato pomace,compositional,xylan,pinecrest,oven dry + knife mill (2mm),,% dry weight,7.19,3,1,1.1194194924156,15.56911672344367,,,13
96,37,tomato pomace,compositional,glucan,pinecrest,oven dry + knife mill (2mm),,% dry weight,13.87,3,1,0.7662245101796206,5.524329561496904,,,14
96,37,tomato pomace,compositional,lignin,pinecrest,oven dry + knife mill (2mm),,% dry weight,32.913333333333334,3,1,0.6357148207595381,1.931481124446642,,,15
52,7,sargassum,compositional,glucan,hairpin,as is,,% dry weight,10.023333333333333,3,1,0.13051181300301254,1.302079943495303,,,16
52,7,sargassum,compositional,glucose,hairpin,as is,,% dry weight,11.133333333333333,3,1,0.14742229591664044,1.3241523585326986,,,17
52,7,sargassum,compositional,xylan,hairpin,as is,,% dry weight,4.406666666666666,3,1,0.3619852667351713,8.214491680828397,,,18
52,7,sargassum,compositional,xylose,hairpin,as is,,% dry weight,5.006666666666667,3,1,0.40771722226726376,8.143486463394083,,,19
52,7,sargassum,compositional,lignin,hairpin,as is,,% dry weight,25.849999999999998,3,1,0.5010987926547028,1.9384866253566841,,,20
70,31,almond shells,compositional,lignin,humorous,knife mill (2mm),,% dry weight,28.810000000000002,3,1,0.5556977595779917,1.9288363747934456,,,21
70,31,almond shells,compositional,xylan,humorous,knife mill (2mm),,% dry weight,16.51,3,1,2.70449625623701,16.380958547771108,,,22
70,31,almond shells,compositional,xylose,humorous,knife mill (2mm),,% dry weight,18.76,3,1,3.0748821115613514,16.390629592544514,,,23
70,31,almond shells,compositional,glucan,humorous,knife mill (2mm),,% dry weight,20.973333333333333,3,1,2.847144768594203,13.575070416056276,,,24
70,31,almond shells,compositional,glucose,humorous,knife mill (2mm),,% dry weight,23.30333333333333,3,1,3.1666438595669915,13.588802143757652,,,25
71,25,almond hulls,compositional,glucose,humorous,knife mill (2mm),,% dry weight,23.87,3,1,0.8013114251026262,3.356981253048287,,,26
160,19,walnut shells,compositional,lignin,cutaway,knife mill (2mm),,% dry weight,50.44,3,1,0.25709920264364605,0.5097129314901786,,,27
160,19,walnut shells,compositional,glucose,cutaway,knife mill (2mm),,% dry weight,12.946666666666667,3,1,0.18717193521821948,1.4457152565773905,,,28
71,25,almond hulls,compositional,lignin,humorous,knife mill (2mm),,% dry weight,20.706666666666667,3,1,0.2746512940681941,1.3263906667813625,,,29
71,25,almond hulls,compositional,xylan,humorous,knife mill (2mm),,% dry weight,10.436666666666666,3,1,0.32393414968683604,3.1038085246263436,,,30
160,19,walnut shells,compositional,glucan,cutaway,knife mill (2mm),,% dry weight,11.649999999999999,3,1,0.1664331697709325,1.4286108993213091,,,31
160,19,walnut shells,compositional,xylose,cutaway,knife mill (2mm),,% dry weight,22.896666666666665,3,1,0.3295957119462176,1.4394921179773663,,,32
71,25,almond hulls,compositional,glucan,humorous,knife mill (2mm),,% dry weight,21.48,3,1,0.7219418259112018,3.3609954651359484,,,33
71,25,almond hulls,compositional,xylose,humorous,knife mill (2mm),,% dry weight,11.86,3,1,0.3642801120017391,3.071501787535743,,,34
160,19,walnut shells,compositional,xylan,cutaway,knife mill (2mm),,% dry weight,20.150000000000002,3,1,0.2946183972531258,1.4621260409584402,,,35
49,31,almond shells,compositional,xylose,tiny,knife mill (2mm),,% dry weight,26.080000000000002,3,1,0.3148015247739438,1.2070610612497845,,,36
49,31,almond shells,compositional,xylan,tiny,knife mill (2mm),,% dry weight,22.95,3,1,0.2787471972953268,1.2145847376702694,,,37
49,31,almond shells,compositional,glucan,tiny,knife mill (2mm),,% dry weight,26.936666666666667,3,1,0.3073000705065543,1.1408244171756747,,,38
49,31,almond shells,compositional,lignin,tiny,knife mill (2mm),,% dry weight,24.706666666666667,3,1,0.12096831541082714,0.4896181141830564,,,39
49,31,almond shells,compositional,glucose,tiny,knife mill (2mm),,% dry weight,29.926666666666666,3,1,0.3370954365359055,1.1264048892935137,,,40
144,25,almond hulls,compositional,xylan,tiny,knife mill (2mm),,% dry weight,8.126666666666667,3,1,0.12096831541082714,1.488535464448242,,,41
144,25,almond hulls,compositional,glucan,tiny,knife mill (2mm),,% dry weight,22.99666666666667,3,1,0.26652079343520896,1.1589540227650772,,,42
144,25,almond hulls,compositional,glucose,tiny,knife mill (2mm),,% dry weight,25.55,3,1,0.2986636904613626,1.1689381231364486,,,43
144,25,almond hulls,compositional,lignin,tiny,knife mill (2mm),,% dry weight,21.78333333333333,3,1,0.09504384952922053,0.43631453494668954,,,44
144,25,almond hulls,compositional,xylose,tiny,knife mill (2mm),,% dry weight,9.236666666666666,3,1,0.13796134724383227,1.493627000113666,,,45
10,37,tomato pomace,compositional,lignin+,riverstone,oven dry,,% dry weight,40.07333333333333,3,1,0.2928025500799724,0.7306668193644297,,,46
10,37,tomato pomace,compositional,xylose,riverstone,oven dry,,% dry weight,12.0,3,1,1.1838918869558994,9.865765724632496,,,47
68,24,corn stover cobs,compositional,lignin,caterpillar,knife mill (2mm),,% dry weight,15.79,3,1,0.17088007490635063,1.0822044009268565,,,48
68,24,corn stover cobs,compositional,glucan,caterpillar,knife mill (2mm),,% dry weight,34.080000000000005,3,1,0.04582575694955703,0.13446524926513212,,,49
10,37,tomato pomace,compositional,glucan,riverstone,oven dry,,% dry weight,13.07,3,1,1.1812281744015416,9.037706001542016,,,50
68,24,corn stover cobs,compositional,xylose,caterpillar,knife mill (2mm),,% dry weight,28.926666666666666,3,1,0.36115555282085005,1.248521155176942,,,51
10,37,tomato pomace,compositional,glucose,riverstone,oven dry,,% dry weight,14.516666666666666,3,1,1.3086379687802632,9.014727683905372,,,52
10,37,tomato pomace,compositional,xylan,riverstone,oven dry,,% dry weight,10.56,3,1,1.0440306508910553,9.886653891013781,,,53
68,24,corn stover cobs,compositional,glucose,caterpillar,knife mill (2mm),,% dry weight,37.86666666666667,3,1,0.05131601439446647,0.13551764364735866,,,54
68,24,corn stover cobs,compositional,xylan,caterpillar,knife mill (2mm),,% dry weight,25.453333333333333,3,1,0.323470761172217,1.2708385064387782,,,55
65,32,olive pomace,compositional,xylan,jaguar,oven dry + knife mill (2mm),,% dry weight,9.684999999999999,2,1,0.14849242404917432,1.5332206922991671,,,56
65,32,olive pomace,compositional,glucan,jaguar,oven dry + knife mill (2mm),,% dry weight,11.855,2,1,0.049497474683058526,0.4175240378157615,,,57
65,32,olive pomace,compositional,lignin,jaguar,oven dry + knife mill (2mm),,% dry weight,7.699999999999999,2,1,0.14142135623730964,1.8366409900949305,,,58
48,25,almond hulls,compositional,xylan,vibrant,knife mill (2mm),,% dry weight,16.526666666666667,3,1,0.10503967504392353,0.6355768961915501,,,59
48,25,almond hulls,compositional,xylose,vibrant,knife mill (2mm),,% dry weight,18.783333333333335,3,1,0.12013880860626654,0.6396032401398396,,,60
48,25,almond hulls,compositional,lignin,vibrant,knife mill (2mm),,% dry weight,20.646666666666665,3,1,0.2973774257292119,1.4403168827698347,,,61
48,25,almond hulls,compositional,glucose,vibrant,knife mill (2mm),,% dry weight,34.370000000000005,3,1,0.2861817604250841,0.832649870308653,,,62
48,25,almond hulls,compositional,glucan,vibrant,knife mill (2mm),,% dry weight,30.926666666666666,3,1,0.25735837529276845,0.8321568504831919,,,63
47,31,almond shells,compositional,xylose,vibrant,knife mill (2mm),,% dry weight,26.38666666666667,3,1,0.44792112400883016,1.6975282617818221,,,64
47,31,almond shells,compositional,xylan,vibrant,knife mill (2mm),,% dry weight,23.22333333333333,3,1,0.3910669166949996,1.6839396441581729,,,65
47,31,almond shells,compositional,glucan,vibrant,knife mill (2mm),,% dry weight,28.47,3,1,0.28792360097775993,1.0113227993598874,,,66
47,31,almond shells,compositional,lignin,vibrant,knife mill (2mm),,% dry weight,26.263333333333335,3,1,0.48086727205470514,1.8309453181420423,,,67
47,31,almond shells,compositional,glucose,vibrant,knife mill (2mm),,% dry weight,31.636666666666667,3,1,0.32005207909547084,1.0116491805778238,,,68
77,5,alfalfa,compositional,lignin,possessive,knife mill (2mm),,% dry weight,20.87,3,1,0.23388031127052966,1.1206531445641095,,,69
77,5,alfalfa,compositional,glucose,possessive,knife mill (2mm),,% dry weight,27.456666666666667,3,1,0.40054130040900043,1.4588125546036195,,,70
77,5,alfalfa,compositional,glucan,possessive,knife mill (2mm),,% dry weight,24.709999999999997,3,1,0.36013886210738255,1.4574620077190716,,,71
77,5,alfalfa,compositional,xylose,possessive,knife mill (2mm),,% dry weight,12.963333333333333,3,1,0.16196707484341807,1.249424593803688,,,72
77,5,alfalfa,compositional,xylan,possessive,knife mill (2mm),,% dry weight,11.406666666666666,3,1,0.1415391583037477,1.2408459231772153,,,73
81,27,rice straw,compositional,glucose,possessive,knife mill (2mm),,% dry weight,34.49333333333333,3,1,0.9479627278186272,2.748249114278974,,,74
81,27,rice straw,compositional,xylose,possessive,knife mill (2mm),,% dry weight,18.08,3,1,0.36592348927063995,2.0239131043730088,,,75
81,27,rice straw,compositional,arabinose,possessive,knife mill (2mm),,% dry weight,2.6166666666666667,3,1,0.04041451884327397,1.5445039048384956,,,76
81,27,rice straw,compositional,glucan,possessive,knife mill (2mm),,% dry weight,31.043333333333333,3,1,0.8494900431042925,2.736465295085233,,,77
81,27,rice straw,compositional,xylan,possessive,knife mill (2mm),,% dry weight,15.913333333333332,3,1,0.3208322510804251,2.016122231339077,,,78
81,27,rice straw,compositional,lignin,possessive,knife mill (2mm),,% dry weight,16.900000000000002,3,1,0.1322875655532294,0.7827666600782804,,,79
81,27,rice straw,compositional,arabinan,possessive,knife mill (2mm),,% dry weight,2.3066666666666666,3,1,0.03214550253664317,1.3935911504325071,,,80
125,26,spent oak chips,compositional,glucan,rigging,oven dry + knife mill (2mm),,% dry weight,40.026666666666664,3,1,0.8161699169494879,2.0390654154301,,,81
125,26,spent oak chips,compositional,lignin,rigging,oven dry + knife mill (2mm),,% dry weight,27.87,3,1,0.18999999999999867,0.6817366343738739,,,82
125,26,spent oak chips,compositional,xylan,rigging,oven dry + knife mill (2mm),,% dry weight,17.043333333333333,3,1,0.18823743871327386,1.1044637514958373,,,83
125,26,spent oak chips,compositional,xylose,rigging,oven dry + knife mill (2mm),,% dry weight,19.37,3,1,0.21702534414210709,1.1204199491074192,,,84
125,26,spent oak chips,compositional,glucose,rigging,oven dry + knife mill (2mm),,% dry weight,44.47666666666667,3,1,0.9078178965703052,2.0411104621980933,,,85
145,35,almond branches,compositional,glucan,humorous,knife mill (2mm),,% dry weight,22.756666666666664,3,1,0.37819747927945446,1.6619194929520484,,,86
145,35,almond branches,compositional,glucose,humorous,knife mill (2mm),,% dry weight,25.28333333333333,3,1,0.4186088070422481,1.655670957319373,,,87
145,35,almond branches,compositional,xylose,humorous,knife mill (2mm),,% dry weight,15.046666666666667,3,1,0.31879983270593726,2.118740580677474,,,88
145,35,almond branches,compositional,lignin,humorous,knife mill (2mm),,% dry weight,38.20666666666667,3,1,0.41198705481281,1.0783119564111237,,,89
145,35,almond branches,compositional,xylan,humorous,knife mill (2mm),,% dry weight,13.24,3,1,0.27838821814150055,2.102630046385956,,,90
55,22,walnut tree sticks,compositional,glucan,energetic,oven dry + knife mill (2mm),,% dry weight,23.590000000000003,3,1,0.35679125549822505,1.5124682301747563,,,91
55,22,walnut tree sticks,compositional,xylan,energetic,oven dry + knife mill (2mm),,% dry weight,13.143333333333333,3,1,0.05686240703077304,0.4326330740358081,,,92
55,22,walnut tree sticks,compositional,xylose,energetic,oven dry + knife mill (2mm),,% dry weight,14.94,3,1,0.062449979983984646,0.4180052207763363,,,93
55,22,walnut tree sticks,compositional,glucose,energetic,oven dry + knife mill (2mm),,% dry weight,26.209999999999997,3,1,0.40261644278394726,1.5361176756350525,,,94
55,22,walnut tree sticks,compositional,lignin,energetic,oven dry + knife mill (2mm),,% dry weight,32.01,3,1,0.11269427669584657,0.3520595960507547,,,95
