resource_name,analysis_type,parameter_name,unit,observed_value,record_id,qc_pass,note,analyst_name,analyst_email,created_at,provider_codename,sample_date
almond hulls,compositional,glucose,% dry weight,30.63,(03)1e07,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,xylan,% dry weight,17.46,(03)1f0b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,lignin,% dry weight,19.47,(03)677d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,xylose,% dry weight,19.7,(03)8660,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,glucose,% dry weight,31.27,(03)8c53,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,lignin,% dry weight,19.86,(03)9a1e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,glucan,% dry weight,27.57,(03)9fbf,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,lignin,% dry weight,19.15,(03)ad41,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,xylan,% dry weight,17.34,(03)b32d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,xylose,% dry weight,19.31,(03)d213,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,glucan,% dry weight,27.47,(03)d898,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,xylan,% dry weight,16.99,(03)e36d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,xylose,% dry weight,19.84,(03)e546,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,glucan,% dry weight,28.15,(03)f1df,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,compositional,glucose,% dry weight,30.52,(03)fa75,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,compositional,lignin,% dry weight,30.02,(04)0340,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
