resource_name,parameter_name,unit,observed_value,record_id,qc_pass,provider_codename,collection_timestamp,harvest_date,created_at,sample_date
almond hulls,glucose,% dry weight,30.63,(03)1e07,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,17.46,(03)1f0b,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,19.47,(03)677d,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,19.7,(03)8660,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,31.27,(03)8c53,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,19.86,(03)9a1e,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,27.57,(03)9fbf,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,19.15,(03)ad41,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,17.34,(03)b32d,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,19.31,(03)d213,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,27.47,(03)d898,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.99,(03)e36d,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,19.84,(03)e546,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,28.15,(03)f1df,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,30.52,(03)fa75,pass,tiny,2024-11-21 15:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,30.02,(04)0340,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,30.99,(04)2869,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,20.18,(04)5f38,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,15.17,(04)68e4,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,17.03,(04)6ff4,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,22.18,(04)8000,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,21.56,(04)8271,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,22.42,(04)a7a4,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,19.35,(04)aa6b,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,17.24,(04)c1d7,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,23.95,(04)c311,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,17.04,(04)d679,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,19.37,(04)e941,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,24.64,(04)ec17,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,30.71,(04)ef2c,pass,capstan,2025-09-26 11:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,glucan,% dry weight,10.17,(0d)4993,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,glucan,% dry weight,9.92,(0d)4994,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,glucan,% dry weight,9.98,(0d)4995,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,glucose,% dry weight,11.3,(0d)4996,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,glucose,% dry weight,11.02,(0d)4997,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,glucose,% dry weight,11.08,(0d)4998,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,xylan,% dry weight,4.81,(0d)4999,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,xylan,% dry weight,4.3,(0d)5000,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,xylan,% dry weight,4.11,(0d)5001,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,xylose,% dry weight,5.46,(0d)5002,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,xylose,% dry weight,4.89,(0d)5003,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,xylose,% dry weight,4.67,(0d)5004,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,lignin,% dry weight,25.4,(0d)5005,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,lignin,% dry weight,26.39,(0d)5006,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
sargassum,lignin,% dry weight,25.76,(0d)5007,pass,hairpin,2025-01-08 09:15:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,29.45,(13)0685,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,15.52,(13)29f0,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,16.41,(13)2c76,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,20.04,(13)336e,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,28.53,(13)3600,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
