resource_name,strain_name,observed_value,record_id,qc_pass,created_at,product_name,unit,provider_codename,sample_date
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.64,proc04-d2c4,pass,2026-07-08 03:54:31.034951,od600teof,,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,18.0,proc04-f0b9,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,5.17,proco04-0008,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,75.2,proco04-01a7,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,50.76,proco04-01ba,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,6.6,proco04-01eb,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,8.5,proco04-04fe,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-05ee,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,9.99,proco04-06a9,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,27.91353,proco04-07f9,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,0.0,proco04-0933,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,52.29,proco04-0963,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,0.0,proco04-0a4e,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,7.7,proco04-0ba4,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,16.76,proco04-0d73,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.75,proco04-0e8c,pass,2026-07-08 03:54:31.034951,od600teof,,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,10.43233,proco04-100a,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,112.5,proco04-101d,pass,2026-07-08 03:54:31.034951,rel_growth,pc,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,8.7,proco04-1122,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,29.64,proco04-114e,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-11b9,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,13.26,proco04-1246,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,3.99,proco04-1273,pass,2026-07-08 03:54:31.034951,od600teof,,,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,35.68,proco04-12f3,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,25.33,proco04-150d,pass,2026-07-08 03:54:31.034951,sugart0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,27.27,proco04-1517,pass,2026-07-08 03:54:31.034951,sugart0,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,26.78571,proco04-15a1,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,14.1,proco04-15e1,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,9.35,proco04-15ea,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,61.46,proco04-171c,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,25.96,proco04-1758,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,18.16,proco04-1acc,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,89.0,proco04-1c64,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.5,proco04-1fe2,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.99,proco04-2045,pass,2026-07-08 03:54:31.034951,od600teof,,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,89.10184,proco04-20a2,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,7.0,proco04-20ff,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-229e,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.8,proco04-22ac,pass,2026-07-08 03:54:31.034951,od600teof,,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,33.49,proco04-240e,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-2410,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,90.45545,proco04-258a,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,91.46294,proco04-25a6,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,85.39,proco04-25b9,pass,2026-07-08 03:54:31.034951,sugart0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,72.69,proco04-2605,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,59.73,proco04-28af,pass,2026-07-08 03:54:31.034951,sugart0,g_l,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,9.36,proco04-2c96,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,74.44,proco04-2c9b,pass,2026-07-08 03:54:31.034951,sugart0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,8.94,proco04-2e39,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,jaguar,2026-07-08 03:54:31.034951
