resource_name,observed_value,record_id
poplar,1,106
cotton field residues,1,119
almond tree sticks,1,101
pluot off-spec canned products,1,82
almond stick char,1,93
orange peel,1,39
pluot rejects,1,66
potato culls-yellow,1,89
oats straw,1,109
plum peels,1,57
forestry biomass,3,98
pluot seeds,1,64
olive stem,1,104
almond tree sticks + almond shells,1,102
pear seeds,1,71
pear stems / leaves,1,72
apricot stems / leaves,1,47
apricot seeds,1,46
plum off-spec canned products,1,83
plum screening waste,1,77
apricot screening waste,1,73
peach rejects,1,56
compost overs,1,40
diatomaceous earth from winemaking,1,91
"wheat straw, pistachio shells, sweet potato culls",1,112
sorghum stubble,1,107
"pruning residues, tree nuts",1,108
pluot stems / leaves,1,65
nectarine stems / leaves,1,52
walnut waste kernels,1,85
apricot off-spec canned products,1,78
almond hash,1,100
"pruning residues, citrus",1,113
pear peels,1,68
orange pomace,1,38
peach off-spec canned products,1,80
diatomaceous earth (wine),1,110
cherry pits,1,99
apricot rejects,1,48
walnut shelling debris,1,94
pluot peels,1,62
corn stover,1,117
barley straw,1,114
wheat hay,1,67
nectarine pomace,1,50
nectarine seeds,1,51
pluot screening waste,1,76
pear pomace,1,69
pear off-spec canned products,1,81
nectarine off-spec canned products,1,79
potato culls,1,42
potato culls-white,1,90
plum seeds,1,59
miscanthus,1,116
cucumber culls,1,84
nectarine screening waste,1,74
dairy manure,1,41
peach peels,1,54
nectarine off-spec canned,1,103
switchgrass,1,115
nectarine rejects,1,53
spent oak stick,1,92
apricot peels,1,44
plum pomace,1,58
cotton gin trash,1,111
walnut hulling discharge,1,86
nectarine peels,1,49
pear rejects,1,70
apricot pomace,1,45
plum stems / leaves,1,60
"pruning residues, noncitrus",1,105
pear screening waste,1,75
municipal solid waste paper rich,1,43
plum rejects,1,61
pluot pomace,1,63
"grape pomace, spent yeast, spent oak chips",1,118
potato culls-red,1,88
walnut shell,1,120
olive pits,1,121
spent yeast,89,1
walnut hull,1,123
white grape pomace,1,124
all / mixed grape pomace,1,122
rice hulls,55,2
grape pomace,5594,3
grape vines,12,4
olive pomace,1566,5
cotton stem mix,1068,6
peach stems / leaves,100,7
sweet potato culls,321,8
walnut shelling fines,32,9
peach screening waste,66,10
corn stover cobs,146,12
corn stover husks,76,13
walnut tree sticks,652,14
peach pomace,61,15
pistachio stems & leaves,70,16
pistachio hulls,336,17
almond hulls,6752,18
corn stover whole,107,19
rice straw,534,20
almond shells,5481,21
grape stem,368,22
olive stems / leaves,1282,23
corn stover stalks,78,24
spent oak chips,2890,26
wheat straw,692,27
almond branches,2195,28
tomato pomace,4277,30
unused oak stick,103,31
walnut hulls,141,32
lees,12,34
walnut shells,1134,35
pistachio shells,334,36
grape vine prunings,12,37
peach seeds,140,55
blend,41,87
olive prunings,48,95
peach tree prunings,12,97
