resource_name,parameter_name,unit,observed_value,record_id,qc_pass,note,analyst_name,analyst_email,created_at,provider_codename,sample_date
grape pomace,glucose_yld,% of glucan,42.7,buty007-8d08,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape pomace,glucose_yld,% of glucan,40.1,buty008-128b,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape pomace,glucose_yld,% of glucan,43.0,buty009-f6f6,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape pomace,xylose_yld,% of xylan,43.5,buty010-561f,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape pomace,xylose_yld,% of xylan,40.8,buty011-c577,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape pomace,xylose_yld,% of xylan,42.7,buty012-ccdb,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape stem,glucose_yld,% of glucan,45.4,buty031-1530,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape stem,glucose_yld,% of glucan,47.5,buty032-8bc4,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape stem,glucose_yld,% of glucan,45.8,buty033-a8aa,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,maplewood,2026-07-08 03:54:21.165553
grape pomace,glucose_yld,% of glucan,50.8,buty055-d4d0,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,ebony,2026-07-08 03:54:21.165553
grape pomace,glucose_yld,% of glucan,50.5,buty056-2bb0,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,ebony,2026-07-08 03:54:21.165553
grape pomace,glucose_yld,% of glucan,53.8,buty057-c642,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,ebony,2026-07-08 03:54:21.165553
grape pomace,xylose_yld,% of xylan,79.7,buty058-c478,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,ebony,2026-07-08 03:54:21.165553
grape pomace,xylose_yld,% of xylan,76.7,buty059-af88,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,ebony,2026-07-08 03:54:21.165553
grape pomace,xylose_yld,% of xylan,83.3,buty060-09f3,pass,,,akrishnamoorthy@lbl.gov,2026-07-08 03:54:21.165553,ebony,2026-07-08 03:54:21.165553
