resource_name,parameter_name,unit,observed_value,record_id,qc_pass,note,analyst_name,analyst_email,created_at,provider_codename,sample_date
almond hulls,volatile solids,% total weight,77.89,(03)00da,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,moisture,% total weight,15.21,(03)1dc8,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,ash solids,% total weight,6.49,(03)6464,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,ash solids,% total weight,6.98,(03)8454,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,total solids,% total weight,84.87,(03)93b6,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,moisture,% total weight,15.44,(03)b1b0,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,moisture,% total weight,15.13,(03)c010,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,volatile solids,% total weight,78.07,(03)c17e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,total solids,% total weight,84.56,(03)ca72,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,volatile solids,% total weight,77.28,(03)d76c,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,total solids,% total weight,84.79,(03)f35c,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
almond hulls,ash solids,% total weight,7.51,(03)f701,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,tiny,2026-07-08 03:54:12.530227
spent oak chips,volatile solids,% total weight,92.05,(04)0237,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
almond shells,total solids,% total weight,91.9,(04)044e,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
spent oak chips,total solids,% total weight,92.5,(04)05aa,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
spent oak chips,total solids,% total weight,92.57,(04)1e5f,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
spent oak chips,ash solids,% total weight,0.54,(04)1e98,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
spent oak chips,volatile solids,% total weight,92.15,(04)3910,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
almond shells,ash solids,% total weight,3.98,(04)394f,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
spent oak chips,moisture,% total weight,7.5,(04)3980,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
spent oak chips,ash solids,% total weight,0.52,(04)3ab3,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
spent oak chips,moisture,% total weight,7.19,(04)4ab5,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
almond shells,moisture,% total weight,8.16,(04)4e50,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
spent oak chips,moisture,% total weight,7.43,(04)5356,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
almond shells,volatile solids,% total weight,87.5,(04)5af5,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
almond shells,volatile solids,% total weight,87.28,(04)63f0,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
spent oak chips,total solids,% total weight,92.81,(04)93fb,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
spent oak chips,ash solids,% total weight,0.66,(04)986f,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
almond shells,ash solids,% total weight,4.62,(04)a405,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
almond shells,ash solids,% total weight,4.3,(04)a428,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
almond shells,moisture,% total weight,8.1,(04)be9a,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
almond shells,total solids,% total weight,91.84,(04)bee6,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
almond shells,total solids,% total weight,91.8,(04)c11a,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
almond shells,moisture,% total weight,8.2,(04)d532,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
spent oak chips,volatile solids,% total weight,91.96,(04)ed81,pass,,,xkang2@lbl.gov,2026-07-08 03:54:12.530227,maplewood,2026-07-08 03:54:12.530227
almond shells,volatile solids,% total weight,87.86,(04)f5c2,pass,,,,2026-07-08 03:54:12.530227,capstan,2026-07-08 03:54:12.530227
pistachio hulls,total solids,% total weight,18.08,(11)132e,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,total solids,% total weight,19.66,(11)2322,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,ash solids,% total weight,4.89,(11)2800,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,ash solids,% total weight,4.96,(11)472b,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,moisture,% total weight,82.83,(11)539d,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,total solids,% total weight,17.17,(11)713f,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,moisture,% total weight,80.34,(11)a4db,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,ash solids,% total weight,4.69,(11)ac5a,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,volatile solids,% total weight,12.22,(11)bf57,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
pistachio hulls,volatile solids,% total weight,13.19,(11)c9c5,pass,,,,2026-07-08 03:54:12.530227,tripod,2026-07-08 03:54:12.530227
