resource_name,parameter_name,unit,observed_value,record_id,qc_pass,note,analyst_name,analyst_email,created_at,provider_codename,sample_date
almond hulls,glucose,% dry weight,30.63,(03)1e07,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,17.46,(03)1f0b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,19.47,(03)677d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,19.7,(03)8660,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,31.27,(03)8c53,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,19.86,(03)9a1e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,27.57,(03)9fbf,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,19.15,(03)ad41,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,17.34,(03)b32d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,19.31,(03)d213,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,27.47,(03)d898,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.99,(03)e36d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,19.84,(03)e546,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,28.15,(03)f1df,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,30.52,(03)fa75,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,30.02,(04)0340,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,30.99,(04)2869,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,20.18,(04)5f38,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,15.17,(04)68e4,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,17.03,(04)6ff4,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,22.18,(04)8000,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,21.56,(04)8271,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,22.42,(04)a7a4,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,19.35,(04)aa6b,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,17.24,(04)c1d7,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,23.95,(04)c311,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,17.04,(04)d679,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
