resource_name,parameter_name,unit,observed_value,record_id,qc_pass,note,analyst_name,analyst_email,created_at,provider_codename,sample_date
tomato pomace,al,ppm,3.0,(26)4371,pass,internal standards serve as the primary qc check. internal_std_results,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,ca,ppm,1620.0,(26)2416,pass,internal_std_results,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,cu,ppm,10.0,(26)e8f5,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,fe,ppm,13.9,(26)f95b,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,k,ppm,6300.0,(26)34ce,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,mg,ppm,2250.0,(26)02fc,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,mn,ppm,38.0,(26)f18a,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,na,ppm,780.0,(26)8804,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,nd,ppm,3.48,(26)005d,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,p,ppm,3650.0,(26)058b,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,s,ppm,1550.0,(26)dd79,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,si,ppm,10.0,(26)9c15,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,ti,ppm,3.48,(26)7272,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,zn,ppm,31.0,(26)6fd6,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,al,ppm,3.48,(26)03d6,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,ca,ppm,1460.0,(26)de89,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,cu,ppm,10.5,(26)4490,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,fe,ppm,10.0,(26)e86a,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,k,ppm,5820.0,(26)7eeb,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,mg,ppm,2180.0,(26)0e8c,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,mn,ppm,32.0,(26)9bb8,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,na,ppm,750.0,(26)c5a6,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,nd,ppm,3.55,(26)6b6b,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,p,ppm,2960.0,(26)4709,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,s,ppm,1530.0,(26)0be0,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,si,ppm,7.0,(26)6427,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,ti,ppm,3.55,(26)fa46,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,zn,ppm,43.0,(26)a23d,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,oakleaf,2026-07-08 03:54:14.293858
tomato pomace,al,ppm,17.8,(69)3b52,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,ca,ppm,2570.0,(69)66e5,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,cu,ppm,14.2,(69)daf6,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,fe,ppm,7.0,(69)a5f5,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,k,ppm,20300.0,(69)fb3a,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,mg,ppm,1550.0,(69)7ba0,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,mn,ppm,17.8,(69)1bde,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,na,ppm,1440.0,(69)eb00,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,nd,ppm,7.11,(69)0335,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,p,ppm,2540.0,(69)1a06,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,s,ppm,1660.0,(69)632c,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,si,ppm,15.0,(69)c905,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,ti,ppm,3.65,(69)311c,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,zn,ppm,22.0,(69)6873,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,al,ppm,14.6,(69)bfca,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,ca,ppm,2730.0,(69)f2b1,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,cu,ppm,14.6,(69)8315,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,fe,ppm,7.0,(69)bf28,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,k,ppm,21000.0,(69)0f35,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,mg,ppm,1730.0,(69)3138,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,mn,ppm,18.3,(69)dd28,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,na,ppm,1530.0,(69)5280,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
tomato pomace,nd,ppm,7.31,(69)aa3d,pass,,,mduran@lbl.gov,2026-07-08 03:54:14.293858,pinecrest,2026-07-08 03:54:14.293858
