record_id,experiment_id,experiment_date,prepared_sample_id,field_sample_id,collection_timestamp,provider_codename,resource_name,primary_product,parameter_name,unit,observed_value,repl_no,qc_pass,note,analyst_email,analysis_type
(03)1e07,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,glucose,% dry weight,30.63,1,pass,,xkang2@lbl.gov,compositional
(03)1f0b,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,xylan,% dry weight,17.46,3,pass,,xkang2@lbl.gov,compositional
(03)677d,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,lignin,% dry weight,19.47,1,pass,,xkang2@lbl.gov,compositional
(03)8660,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,xylose,% dry weight,19.7,2,pass,,xkang2@lbl.gov,compositional
(03)8c53,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,glucose,% dry weight,31.27,3,pass,,xkang2@lbl.gov,compositional
(03)9a1e,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,lignin,% dry weight,19.86,2,pass,,xkang2@lbl.gov,compositional
(03)9fbf,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,glucan,% dry weight,27.57,1,pass,,xkang2@lbl.gov,compositional
(03)ad41,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,lignin,% dry weight,19.15,3,pass,,xkang2@lbl.gov,compositional
(03)b32d,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,xylan,% dry weight,17.34,2,pass,,xkang2@lbl.gov,compositional
(03)d213,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,xylose,% dry weight,19.31,1,pass,,xkang2@lbl.gov,compositional
(03)d898,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,glucan,% dry weight,27.47,2,pass,,xkang2@lbl.gov,compositional
(03)e36d,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,xylan,% dry weight,16.99,1,pass,,xkang2@lbl.gov,compositional
