record_id,experiment_id,experiment_date,prepared_sample_id,field_sample_id,collection_timestamp,provider_codename,resource_name,primary_product,product_name,unit,observed_value,repl_no,qc_pass,note,analyst_email,reactor_vessel,strain_name,bioconversion_method,pretreatment_method,enz_hydr_method
proc04-d2c4,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.64,1,pass,test,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proc04-d2c4,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.64,1,pass,test,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proc04-f0b9,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,rel_growth,pc,18.0,1,pass,test,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-0008,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconcteof,g_l,5.17,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-01a7,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,etohyield,mol_pc,75.2,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-01ba,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconct0,g_l,50.76,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-01eb,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconcteof,g_l,6.6,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-04fe,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,etohtiter,g_l,8.5,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-05ee,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconcteof,g_l,0.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-06a9,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,etohtiter,g_l,9.99,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
