resource_name,parameter_name,unit,observed_value,record_id,qc_pass,note,analyst_name,analyst_email,created_at,provider_codename,sample_date
almond hulls,la,ppm,0.0,(03)0161,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,co,ppm,0.0,(03)01b6,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,rb,ppm,7.0,(03)0663,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,al,ppm,4350.0,(03)1244,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,mg,ppm,0.0,(03)1492,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,zn,ppm,25.0,(03)1c00,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,mo,ppm,10.0,(03)1dc2,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,th,ppm,76.0,(03)2448,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,y,ppm,0.0,(03)337a,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,s,ppm,359.0,(03)3e42,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,cr,ppm,0.0,(03)5e0f,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,ca,ppm,3850.0,(03)645d,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,si,ppm,17900.0,(03)663c,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,cd,ppm,0.0,(03)6772,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,u,ppm,21.0,(03)68d1,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,fe,ppm,527.0,(03)6a5b,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,hg,ppm,0.0,(03)6fa2,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,ti,ppm,344.0,(03)79f8,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,sb,ppm,0.0,(03)7bbf,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,p,ppm,529.0,(03)82cf,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
almond hulls,as,ppm,0.0,(03)87ee,provisional,,,xkang2@lbl.gov,2026-07-08 03:54:14.421559,tiny,2026-07-08 03:54:14.421559
