Residue Type,Resource,Resource Code,LandIQ Crop Name,Include In Totals,Collected?,From Month,To Month,Residue Yield (Wet Ton/Ac),Moisture Content,Residue Yield (Dry Ton/Ac)
Ag Residue,Alfalfa,Alf,Alfalfa & Mixtures,TRUE,FALSE,4,10,1,11%,0.9
Ag Residue,Almond Branches,AlmBr,Almonds,FALSE,FALSE,11,1,2.5,40%,1.5
Processing Waste,Almond Hulls,AlmHu,Almonds ,TRUE,TRUE,8,11,,,
Processing Waste,Almond Shells,AlmSh,Almonds,TRUE,TRUE,8,11,,,
Processing Waste,Almond Shells and Hulls mix,AlMix,Almonds,FALSE,TRUE,8,11,,,
Processing Waste,Almond stick char,AlmSC,Almonds,FALSE,TRUE,1,12,,,
Ag Residue,Almond woodchips,AlmWC,Almonds,TRUE,FALSE,11,1,2.5,40%,1.5
Processing Waste,Apricot off-spec canned products,ApOSC,Apricots,TRUE,TRUE,5,7,,,
Processing Waste,Apricot peels,ApPl,Apricots,TRUE,TRUE,5,7,,,
Processing Waste,Apricot pomace,ApPo,Apricots,TRUE,TRUE,5,7,,,
Processing Waste,Apricot rejects,ApRj,Apricots,TRUE,TRUE,5,7,,,
Processing Waste,Apricot screening waste,ApSW,Apricots,FALSE,TRUE,5,7,,,
Processing Waste,Apricot seeds,ApSd,Apricots,TRUE,TRUE,5,7,,,
Processing Waste,Apricot stems / leaves,ApSt,Apricots,TRUE,TRUE,5,7,2.5,40%,1.5
N/A,Blend,Ble,No Match,FALSE,FALSE,-,-,,,
Ag Residue,Compost overs,Compo,No Match,FALSE,FALSE,1,12,,,
Processing Waste,Corn stover cobs,CnSC,"Corn, Sorghum",FALSE,TRUE,9,11,,,
Processing Waste,Corn stover husks,CnSH,"Corn, Sorghum",FALSE,TRUE,9,11,,,
Ag Residue,Corn stover stalks,CnSS,"Corn, Sorghum",FALSE,FALSE,9,11,2.9,20%,2.3
Ag Residue,Corn stover whole,CnSW,"Corn, Sorghum",TRUE,FALSE,9,11,2.9,20%,2.3
Ag Residue,Cotton stem mix,CotSM,Cotton,TRUE,FALSE,10,12,1.5,14%,1.3
Processing Waste,Cucumber culls,CuCu,Melons/Squash,TRUE,TRUE,6,9,1.2,80%,0.2
N/A,Dairy manure,DaMa,No Match,TRUE,TRUE,1,12,-,-,-
Processing Waste,Diatomaceous earth (wine),DiErW,Grapes,FALSE,TRUE,8,10,,,
Processing Waste,Grape pomace,GpPm,Grapes,TRUE,TRUE,8,10,,,
Processing Waste,Grape stem,GpSt,Grapes,TRUE,TRUE,8,10,2,45%,1.1
Ag Residue,Grape vines,GpVn,Grapes,TRUE,FALSE,12,2,2,45%,1.1
Processing Waste,Lees,Lees,Grapes,TRUE,TRUE,8,10,,,
N/A,Municipal solid waste paper rich,MSWp,No Match,TRUE,TRUE,1,12,,,
Processing Waste,Nectarine off-spec canned,NcOSC,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Nectarine peels,NcPl,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Nectarine pomace,NcPo,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Nectarine rejects,NcRj,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Nectarine screening waste,NcSW,Peaches/Nectarines,FALSE,TRUE,5,9,,,
Processing Waste,Nectarine seeds,NcSd,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Nectarine stems / leaves,NcSt,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Olive pomace,Olpm,Olives,TRUE,TRUE,9,11,,,
Ag Residue,Olive prunings,OlPr,Olives,TRUE,FALSE,1,3,1.1,43%,0.7
Processing Waste,Olive stems / leaves,OlSt,Olives,TRUE,TRUE,9,11,,,
Processing Waste,Orange peel,OrPl,Oranges,TRUE,TRUE,11,6,,,
Processing Waste,Orange pomace,OP,Oranges,TRUE,TRUE,11,6,,,
Processing Waste,Peach off-spec canned products,PchOSC,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Peach peels,PchPl,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Peach pomace,PchPo,Peaches/Nectarines,TRUE,TRUE,5,9,,,
