GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1007192,645,Allen County LF,KS,1170 2800th Street,La Harpe,Allen,66751,37.90316,-95.2808,Public,"Allen County, KS",1976,2080,Open,"1,444,132",2022,Yes,0.078,0.031,715-0,Operational,Project #1,1/1/07,,Direct,Direct Thermal,,,,0.0504,0.0049,0.0004
1003826,1595,Atlantic Waste Disposal Inc.,VA,3474 Atlantic Lane,Waverly,Sussex,23890,37.06925,-77.18108,Private,WM,1994,2101,Open,"43,713,225",2022,Yes,11.706,8.826,200973-0,Operational,Project #2,12/31/21,,Direct,Leachate Evaporation,,,,2.88,0.2824,0.0249
1006132,2068,Autumn Hills Recycling & Disposal Facility,MI,700 56th Avenue,Zeeland,Ottawa,49464,42.781,-85.9207,Private,WM,1992,2077,Open,"14,599,798",2022,Yes,3.54,,180117-0,Operational,Project #1,1/1/05,,Direct,Boiler,,,,0.5,0.049,0.0043
1006969,940,Burlington County SLF,NJ,22000 Burlington-Columbus Road,Florence,Burlington,8022,40.076,-74.76,Public,Burlington County Board of Chosen Freeholders,1989,2027,Open,"11,208,990",2022,Yes,3.341,2.909,180439-0,Operational,Project #1,1/1/96,,Direct,Greenhouse,,,,0.216,0.0212,0.0019
1004341,2062,Cerro Colorado LF,NM,18000 Cerro Colorado SW,Albuquerque,Bernalillo,87121,35.0105,-106.877,Public,"City of Albuquerque, EHD, NM",1990,2076,Open,"16,362,528",2022,Yes,1.24,0.931,180105-0,Operational,Project #1,6/13/13,,Direct,Boiler,,,,0.25,0.0245,0.0022
1008252,832,Champ Landfill,MO,2305 Creve Coeur Mill Road,Maryland Heights,St. Louis,63043,38.743,-90.46,Private,Waste Connections Inc. - Central Region,1974,2086,Open,"26,234,609",2022,Yes,8.631,4.533,166964-0,Operational,Project #1,1/1/83,,Direct,Direct Thermal,,,,,0,0
1008252,832,Champ Landfill,MO,2305 Creve Coeur Mill Road,Maryland Heights,St. Louis,63043,38.743,-90.46,Private,Waste Connections Inc. - Central Region,1974,2086,Open,"26,234,609",2022,Yes,8.631,4.533,166964-1,Operational,"Project #1, Expansion #1",1/1/09,,Direct,Direct Thermal,,,,0.01,0.001,0.0001
1008252,832,Champ Landfill,MO,2305 Creve Coeur Mill Road,Maryland Heights,St. Louis,63043,38.743,-90.46,Private,Waste Connections Inc. - Central Region,1974,2086,Open,"26,234,609",2022,Yes,8.631,4.533,902-0,Operational,Project #3,1/1/97,,Direct,Boiler,,,,0.3,0.0294,0.0026
1007583,1575,Charles City County SLF,VA,8000 Chambers Road,Charles City,Charles City,23030,37.43919,-77.13331,Private,WM,1990,2061,Open,"20,580,910",2022,Yes,5.384,1.536,201542-0,Operational,Project #3,12/31/22,,Direct,Leachate Evaporation,,,,0.07,0.0069,0.0006
1001614,2153,City of Fargo Landfill,ND,4501 7th Avenue North,Fargo,Cass,58102,46.8835,-96.8613,Public,"City of Fargo, ND",1980,2045,Open,"7,537,611",2022,Yes,0.908,0.046,180222-0,Operational,Project #1,5/15/02,,Direct,Boiler,,,,0.745,0.0731,0.0064
1007802,1816,City of Victoria Landfill,TX,18545 FM 1686,Bloomington,Victoria,77951,28.6934,-96.9067,Public,"City of Victoria, TX",1983,2027,Open,"5,430,577",2022,Yes,1.437,0,101879-0,Operational,Project #1,3/27/14,,Direct,Direct Thermal,,,,1.44,0.1412,0.0125
1006322,122,Cold Canyon LF Solid Waste Disposal Site,CA,2268 Carpenter Canyon Road,San Luis Obispo,San Luis Obispo,93401,35.1873,-120.59579,Private,Corral de Piedra Land Company,1965,2064,Open,"7,077,576",2022,Yes,1.439,0.001,178-0,Operational,Project #1,1/1/99,,Direct,Boiler,,,,0.688,0.0675,0.006
1004413,1294,Commonwealth Environmental Systems (CES) LF,PA,"99 Commonwealth Road
near Route 25 and I-81",Hegins,Schuylkill,17938,40.675,-76.375,Private,CES,1997,2028,Open,"5,564,197",2010,Yes,6.96,0.24,1369-0,Operational,Project #1,6/20/05,,Direct,Boiler,,,,0.24,0.0235,0.0021
1002556,1269,Conestoga LF,PA,420 Quarry Road,Morgantown,Berks,19543,40.1806,-75.9144,Private,"Republic Services, Inc.",1994,2029,Open,"38,783,267",2022,Yes,9.691,3.547,180899-0,Operational,Project #1,12/3/08,,Direct,Direct Thermal,,,,3.6,0.353,0.0311
1007631,2290,"Courtney Ridge Landfill, LLC",MO,2001 N. Courtney Road,Sugar Creek,Jackson,64050,39.141087,-94.388472,Private,"Republic Services, Inc.",1996,2042,Open,"11,313,840",2022,Yes,2.906,1.289,180382-0,Operational,Project #1,5/1/09,,Direct,Direct Thermal,,,,1.81,0.1775,0.0156
1007631,2290,"Courtney Ridge Landfill, LLC",MO,2001 N. Courtney Road,Sugar Creek,Jackson,64050,39.141087,-94.388472,Private,"Republic Services, Inc.",1996,2042,Open,"11,313,840",2022,Yes,2.906,1.289,180382-1,Operational,"Project #1, Expansion #1",1/1/10,,Direct,Direct Thermal,,,,0.74,0.0726,0.0064
1001845,1702,Cranberry Creek Landfill LLC,WI,2510 Engel Road,Wisconsin Rapids,Wood,54495,44.40918,-89.85482,Private,WM,1970,2031,Open,"8,828,413",2022,Yes,2.075,0.856,1782-0,Operational,Project #1,10/15/05,,Direct,Boiler,,,,1.22,0.1196,0.0106
1004863,814,Crow Wing County SLF,MN,"15728 State Highway 210
6 miles NE of Brainerd",Brainerd,Crow Wing,56401,46.4305,-94.0683,Public,"Crow Wing County, MN",1974,2025,Open,"1,838,511",2022,Yes,0.103,0.094,884-0,Operational,Project #1,10/1/09,,Direct,Boiler,,,,0.04,0.0039,0.0004
1001627,1075,Cumberland County Ann Street Landfill,NC,698 Ann Street,Fayetteville,Cumberland,28301,35.067907,-78.861852,Public,"Cumberland County, NC",1980,2025,Open,"5,514,389",2022,Yes,1.62,1.017,1148-0,Operational,Project #1,12/1/97,,Direct,Boiler,,,,0.606,0.0594,0.0052
