processing_facility_id,name,address,city,county,zip,state,latitude,longitude,geom,primary_ag_product,process_type,byproducts,quantities,processing_capacity_products,processing_capacity_ton_hr,general_source_info,source_url,CARB_facility_id,air_district,EPA_facility_id,NAICS_code,NAICS_code_description,phone_number,website,excess_food_estimate_low,excess_food_estimate_high,etl_run_id,lineage_group_id,created_at,updated_at,geocode_status
1,4 Corner Growers LLC,9051 AGUAS FRIAS RD,Chico,Butte,95928,CA,39.6333364,-121.8654062,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,CARB 2024,,,Butte,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
2,A & R Cunha Farms INC,5069 W CLAYTON,Fresno,Fresno,93706,CA,,,,Almonds,Almond Hulling,"Hulls, Shells","6453.980928, 4083.130791",,,CARB 2024,,2,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,failed
3,Adrian Ranch,26554 E. RIVER RD,Escalon,San Joaquin,95320,CA,37.757383,-120.9821665,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","1105.93, 699.67",,,CARB 2024,,9,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
4,Almond Tree Hulling CO,23175 RD 16,Chowchilla,Madera,93610,CA,37.0861803,-120.2565377,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","33570.88, 21238.72",,,CARB 2024,,22,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
5,Almond Orchards INC,9409 TROXEL RD,Chico,Butte,95938,CA,40.3054968,-75.8037296,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,CARB 2024,,,Butte,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
6,Antonowich Hulling,2656 House Ave,Durham,Butte,95938,CA,39.6251999,-121.8117102,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,CARB 2024,,709,Butte,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
7,Associated Hulling and Shelling LP,4506 SAYLOR ROAD,Denair,Stanislaus,95316,CA,37.5724303,-120.8151822,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","4723.6, 2988.4",,,CARB 2024,,2109,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
8,B & V Farms,1737 KIERNAN AVENUE,Modesto,Stanislaus,95356,CA,37.713623,-121.0241925,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","980, 620",,,CARB 2024,,1778,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
9,Barindelli Farms INC,3700 S CARPENTER RD,Modesto,Stanislaus,95358,CA,37.5838629,-121.0298641,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","9038.18207, 5718.033555",,,CARB 2024,,1747,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
10,Bertagna Orchards INC,3329 HEGAN LN,Chico,Butte,95928,CA,39.68871499999999,-121.8385402,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,CARB 2024,,,Butte,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
11,Braden Farms,1348 MEIKLE RD,Denair,Stanislaus,95316,CA,37.6109744,-120.7180125,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","18882.64, 11946.16",,,CARB 2024,,1739,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
12,C & G Farms,21602 S CARROLTON AVE,Ripon,San Joaquin,95366,CA,37.763618,-121.065486,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","16660, 10540",,,CARB 2024,,330,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
13,Cal-Almond,5237 CHRISTOFFERSON,Turlock,Stanislaus,95380,CA,,,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","3675, 2325",,,CARB 2024,,1784,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
14,Campos Bros,15516 S WALNUT AVE,Caruthers,Fresno,93609,CA,36.5105011,-119.8084204,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","12896.31, 8158.89",,,CARB 2024,,230,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
15,Capay Canyon Ranch,14650 COUNTY RD 87,Esparto,Yolo,95627,CA,38.72701440000001,-122.012235,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells","1541.05, 974.95",,,CARB 2024,,,Yolo Solano,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
16,Cavalletto Ranches,22483 RD 20 1/2,Chowchilla,Madera,93610,CA,37.0762044,-120.1744665,,Almonds,Almond Hulling,"Hulls, Shells","486.716994, 307.9229962",,,CARB 2024,,790,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
17,Central California Almond Growers Association(1),10910 E MCKINLEY AVE,Kerman,Fresno,93630,CA,36.7650286,-119.5933489,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","4229.68, 2675.92",,,CARB 2024,,250,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
18,Central California Almond Growers Association(2),8325 S MADERA AVE,Sanger,Fresno,93657,CA,36.61413,-120.0661915,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","13414.73, 8486.87",,,CARB 2024,,258,Valley,,,,,,,,1,1,2026-06-05 06:16:30,2026-06-05 22:32:37.836018,success
