record_id,resource_name,parameter_name,analysis_type,unit,observed_value,group_mean,group_std,group_n,z_score,severity,analyst_name,analyst_email,qc_pass,note,created_at,provider_codename,sample_date,repl_no
39,almond shells,,,,39.3,13.510645161290322,12.45122000327247,31,2.071231159029528,LOW,,,,,,,,
31,almond hulls,,,,252.26,113.6165625,50.95415159947002,32,2.720944871966861,LOW,,,,,,,,
34,almond shells,,,,38.35,13.510645161290322,12.45122000327247,31,1.9949334147321565,LOW,,,,,,,,
10,almond hulls,,,,217.0,113.6165625,50.95415159947002,32,2.028950227896156,LOW,,,,,,,,
64,almond hash,,,,1614.0,2236.4,561.8246464274537,10,1.107818967996037,LOW,,,,,,,,
72,almond hash,,,,3140.0,2236.4,561.8246464274537,10,1.608331008163912,LOW,,,,,,,,
73,almond hash,,,,3140.0,2236.4,561.8246464274537,10,1.608331008163912,LOW,,,,,,,,
65,almond hash,,,,1614.0,2236.4,561.8246464274537,10,1.107818967996037,LOW,,,,,,,,
37,almond shells,,,,34.88,13.510645161290322,12.45122000327247,31,1.716245864509126,LOW,,,,,,,,
32,almond hulls,,,,213.0,113.6165625,50.95415159947002,32,1.950448283021431,LOW,,,,,,,,
38,almond shells,,,,29.67,13.510645161290322,12.45122000327247,31,1.2978129720993308,LOW,,,,,,,,
8,almond hulls,,,,209.0,113.6165625,50.95415159947002,32,1.8719463381467054,LOW,,,,,,,,
41,almond shells,,,,29.1,13.510645161290322,12.45122000327247,31,1.2520343255209077,LOW,,,,,,,,
36,almond shells,,,,32.02,13.510645161290322,12.45122000327247,31,1.486549497466513,LOW,,,,,,,,
1,almond hulls,,,,194.55,113.6165625,50.95415159947002,32,1.58835806228676,LOW,,,,,,,,
35,almond shells,,,,37.0,13.510645161290322,12.45122000327247,31,1.886510304414839,LOW,,,,,,,,
