record_id,resource_name,parameter_name,analysis_type,unit,observed_value,group_mean,group_std,group_n,z_score,severity,analyst_name,analyst_email,qc_pass,note,created_at,provider_codename,sample_date,repl_no
(03)8c53,almond hulls,glucose,,% dry weight,31.27,30.80666666666667,0.40501028793517474,3,1.144003861471024,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(03)9a1e,almond hulls,lignin,,% dry weight,19.86,19.493333333333332,0.3555746522649409,3,1.031194615057829,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(03)d213,almond hulls,xylose,,% dry weight,19.31,19.616666666666664,0.2746512940681937,3,1.1165673466316237,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(03)e36d,almond hulls,xylan,,% dry weight,16.99,17.263333333333332,0.24419937209856482,3,1.1193039973215386,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(03)f1df,almond hulls,glucan,,% dry weight,28.15,27.73,0.3671511950137154,3,1.143942892475969,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(04)0340,almond shells,lignin,,% dry weight,30.02,30.573333333333334,0.49923274465256473,3,1.1083674684007767,LOW,,,pass,,2026-07-08 04:06:49.387425,capstan,,
(04)5f38,almond shells,glucan,,% dry weight,20.18,21.30666666666667,1.0237838313498282,3,1.1004927331008858,LOW,,,pass,,2026-07-08 04:06:49.387425,capstan,,
(04)68e4,almond shells,xylan,,% dry weight,15.17,16.413333333333334,1.076769860895694,3,1.1546880893370166,LOW,,,pass,,2026-07-08 04:06:49.387425,capstan,,
(04)a7a4,almond shells,glucose,,% dry weight,22.42,23.67,1.1361778029868366,3,1.1001799161310337,LOW,,,pass,,2026-07-08 04:06:49.387425,capstan,,
(04)c1d7,almond shells,xylose,,% dry weight,17.24,18.653333333333332,1.2240234202552407,3,1.1546620023321263,LOW,,,pass,,2026-07-08 04:06:49.387425,capstan,,
(0d)4993,sargassum,glucan,,% dry weight,10.17,10.023333333333333,0.13051181300301254,3,1.1237807773253528,LOW,,,pass,,2026-07-08 04:06:49.387425,hairpin,,
(0d)4996,sargassum,glucose,,% dry weight,11.3,11.133333333333333,0.14742229591664036,3,1.1305390791153407,LOW,,,pass,,2026-07-08 04:06:49.387425,hairpin,,
(0d)4999,sargassum,xylan,,% dry weight,4.81,4.406666666666666,0.3619852667351712,3,1.1142258273964847,LOW,,,pass,,2026-07-08 04:06:49.387425,hairpin,,
(0d)5002,sargassum,xylose,,% dry weight,5.46,5.006666666666667,0.40771722226726387,3,1.1118817370833733,LOW,,,pass,,2026-07-08 04:06:49.387425,hairpin,,
(0d)5006,sargassum,lignin,,% dry weight,26.39,25.849999999999998,0.5010987926547028,3,1.077631812160653,LOW,,,pass,,2026-07-08 04:06:49.387425,hairpin,,
(13)9bb5,almond shells,xylan,,% dry weight,19.57,16.94,2.6299287062580237,9,1.00002710862154,LOW,,,pass,,2026-07-08 04:06:49.387425,humorous,,
(15)1ee2,almond hulls,xylan,,% dry weight,10.23,8.233333333333333,1.838735978872442,9,1.0858908998403745,LOW,,,pass,,2026-07-08 04:06:49.387425,humorous,,
(15)65e3,almond hulls,xylan,,% dry weight,10.81,8.233333333333333,1.838735978872442,9,1.4013249842681292,LOW,,,pass,,2026-07-08 04:06:49.387425,humorous,,
(15)797a,walnut shells,glucan,,% dry weight,11.84,11.65,0.16643316977093264,3,1.1415993594396037,LOW,,,pass,,2026-07-08 04:06:49.387425,cutaway,,
(15)93e3,walnut shells,xylose,,% dry weight,22.54,22.896666666666665,0.3295957119462183,3,1.0821338195227024,LOW,,,pass,,2026-07-08 04:06:49.387425,cutaway,,
(15)95c9,walnut shells,lignin,,% dry weight,50.73,50.44,0.257099202643647,3,1.127969270297405,LOW,,,pass,,2026-07-08 04:06:49.387425,cutaway,,
(15)962e,almond hulls,xylose,,% dry weight,11.63,9.357777777777777,2.0882634997634857,9,1.088091719497838,LOW,,,pass,,2026-07-08 04:06:49.387425,humorous,,
(15)968f,almond hulls,xylose,,% dry weight,12.28,9.357777777777777,2.0882634997634857,9,1.399355120918979,LOW,,,pass,,2026-07-08 04:06:49.387425,humorous,,
(15)ab15,walnut shells,glucose,,% dry weight,13.16,12.946666666666667,0.18717193521821926,3,1.1397720127465303,LOW,,,pass,,2026-07-08 04:06:49.387425,cutaway,,
(15)d283,almond hulls,xylose,,% dry weight,11.67,9.357777777777777,2.0882634997634857,9,1.107246390354523,LOW,,,pass,,2026-07-08 04:06:49.387425,humorous,,
(15)d98b,almond hulls,xylan,,% dry weight,10.27,8.233333333333333,1.838735978872442,9,1.107644974628495,LOW,,,pass,,2026-07-08 04:06:49.387425,humorous,,
(15)e1e0,walnut shells,xylan,,% dry weight,19.83,20.150000000000002,0.29461839725312755,3,1.0861507732834117,LOW,,,pass,,2026-07-08 04:06:49.387425,cutaway,,
(24)6b86,almond shells,xylan,,% dry weight,23.18,20.991666666666667,2.152490805245558,6,1.016651652123404,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(24)70e6,almond shells,glucan,,% dry weight,27.22,24.886666666666667,2.2558693815615016,6,1.0343388462137868,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(24)ec7f,almond shells,xylose,,% dry weight,26.34,23.855,2.445508127158854,6,1.0161487391526385,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(24)ec97,almond shells,glucose,,% dry weight,30.24,27.650000000000002,2.505058881543505,6,1.0339078330981804,LOW,,,pass,,2026-07-08 04:06:49.387425,tiny,,
(28)7919,tomato pomace,xylose,,% dry weight,10.64,12.0,1.1838918869558992,3,1.1487535432791258,LOW,,,pass,,2026-07-08 04:06:49.387425,riverstone,,
(28)8908,corn stover cobs,lignin,,% dry weight,15.97,15.790000000000001,0.1708800749063515,3,1.053370324765168,LOW,,,pass,,2026-07-08 04:06:49.387425,caterpillar,,
(28)8c33,tomato pomace,xylan,,% dry weight,9.36,10.56,1.0440306508910555,3,1.1493915422653822,LOW,,,pass,,2026-07-08 04:06:49.387425,riverstone,,
(28)97be,corn stover cobs,glucose,,% dry weight,37.81,37.86666666666667,0.05131601439446648,3,1.1042686641847883,LOW,,,pass,,2026-07-08 04:06:49.387425,caterpillar,,
(28)9a1d,corn stover cobs,glucan,,% dry weight,34.03,34.080000000000005,0.0458257569495582,3,1.0910894511800597,LOW,,,pass,,2026-07-08 04:06:49.387425,caterpillar,,
(28)a602,tomato pomace,glucan,,% dry weight,11.71,13.07,1.1812281744015416,3,1.1513440243575557,LOW,,,pass,,2026-07-08 04:06:49.387425,riverstone,,
(28)a764,corn stover cobs,xylose,,% dry weight,28.52,28.926666666666666,0.36115555282085043,3,1.126015268186646,LOW,,,pass,,2026-07-08 04:06:49.387425,caterpillar,,
(28)c6e6,corn stover cobs,xylan,,% dry weight,25.09,25.453333333333333,0.3234707611722163,3,1.1232339269758422,LOW,,,pass,,2026-07-08 04:06:49.387425,caterpillar,,
(28)cfc4,tomato pomace,glucose,,% dry weight,13.01,14.516666666666666,1.3086379687802632,3,1.1513242796026915,LOW,,,pass,,2026-07-08 04:06:49.387425,riverstone,,
(28)e48e,tomato pomace,lignin+,,% dry weight,39.76,40.07333333333333,0.2928025500799759,3,1.070118184584625,LOW,,,pass,,2026-07-08 04:06:49.387425,riverstone,,
(31)3fdc,almond hulls,xylan,,% dry weight,16.42,16.526666666666667,0.10503967504392266,3,1.015489305560614,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(31)504a,almond hulls,lignin,,% dry weight,20.99,20.646666666666665,0.2973774257292106,3,1.1545373105958963,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(31)52b7,almond hulls,xylose,,% dry weight,18.66,18.78333333333333,0.12013880860626736,3,1.0265902813930292,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(31)749c,almond hulls,glucan,,% dry weight,30.63,30.926666666666666,0.25735837529276845,3,1.15273756422025,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(31)eec3,almond hulls,glucose,,% dry weight,34.04,34.37,0.2861817604250843,3,1.1531133203941017,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(37)0930,almond shells,xylose,,% dry weight,25.89,26.386666666666667,0.447921124008829,3,1.1088261750675468,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(37)4b35,almond shells,lignin,,% dry weight,26.76,26.263333333333335,0.48086727205470553,3,1.0328560405960903,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(37)679f,almond shells,xylan,,% dry weight,22.79,23.223333333333333,0.3910669166949989,3,1.1080797552386645,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
(37)8ab5,almond shells,glucose,,% dry weight,31.27,31.636666666666667,0.32005207909547184,3,1.1456468825415445,LOW,,,pass,,2026-07-08 04:06:49.387425,vibrant,,
